Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,4,21,-14,-9,-54,54,44,4,-13,32
  └─ Profit from operations,18.60,28.74,36.98,21.65,-7.15,30.22,33.55,43.13,38.03,38.30
  └─ Receivables,3.84,-25.36,-2.33,-4.58,-22.69,24.46,3.37,36.61,-2.50,-23.16
  └─ Inventory,16.86,-16.40,-54.27,-29.88,-24.13,-29.02,17.55,-31.37,-37.15,-11.33
  └─ Payables,-29.79,39.34,11.87,3.82,2.71,28.41,-10.74,-44.86,-7.78,33.16
  └─ Other WC items,-4.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Working capital changes,-13.51,-2.42,-44.73,-30.65,-44.10,23.86,10.18,-39.62,-47.43,-1.33
  └─ Direct taxes,-0.86,-5.18,-6.44,0.00,-2.68,0.00,0.00,0.00,-3.97,-4.69
Cash from Investing Activity,-3,-12,-23,12,7,-1,-9,-6,-4,-33
  └─ Fixed assets purchased,-14.10,-14.71,-21.97,-2.14,-0.94,0.00,0.00,0.00,0.00,-33.77
  └─ Fixed assets sold,0.00,2.16,0.03,0.43,0.00,0.00,0.00,0.00,0.00,0.26
  └─ Investments purchased,0.00,0.00,-0.03,-0.01,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Investments sold,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.04
  └─ Interest received,0.00,0.34,0.95,0.72,0.73,0.29,0.32,0.39,0.17,0.16
  └─ Other investing items,10.70,0.00,-1.59,-7.22,7.52,-1.47,-9.42,-5.95,-3.75,0.00
Cash from Financing Activity,-0,-11,34,-2,47,-53,-35,-0,17,1
  └─ Proceeds from borrowings,7.56,3.84,41.66,33.91,64.83,0.00,0.00,25.56,60.78,19.30
  └─ Repayment of borrowings,-1.29,-7.79,0.00,-19.79,0.00,-36.30,-20.15,-9.93,-27.63,-4.46
  └─ Interest paid fin,-6.42,-7.02,-7.35,-15.99,-18.20,-16.45,-14.63,-15.67,-16.15,-13.40
Net Cash Flow,1,-2,-2,1,0,0,-0,-2,0,0
  └─ Free Cash Flow,-10,9,-36,-11,-55,54,44,4,-13,-1
  └─ CFO/OP,30%,94%,-24%,-43%,716%,181%,140%,8%,-25%,100%
