Metric,Mar 2026
Cash from Operating Activity,-17.71
  └─ Profit from operations,-3.38
  └─ Receivables,-2.28
  └─ Inventory,0.01
  └─ Payables,3.44
  └─ Other WC items,-15.49
  └─ Working capital changes,-14.32
Cash from Investing Activity,-598.65
  └─ Fixed assets purchased,-20
  └─ Investments purchased,-611
  └─ Other investing items,32
Cash from Financing Activity,616.32
  └─ Proceeds from shares,636
  └─ Repayment of borrowings,-19
Net Cash Flow,-0.04
  └─ Free Cash Flow,-37.92
  └─ CFO/OP,681%
