Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,1164,1181,1230,1215,1176
  └─ Profit from operations,1152,1210,1177,1185,1176
  └─ Receivables,73,7,52,51,18
  └─ Inventory,0,0,-0,0,-0
  └─ Payables,-1,0,-0,0,2
  └─ Other WC items,-48,-0,-1,-17,5
  └─ Working capital changes,23,7,51,35,25
  └─ Direct taxes,-12,-37,2,-5,-26
Cash from Investing Activity,-629,-154,10,-531,13
  └─ Fixed assets purchased,-308.45,-17.30,-24.02,-4.47,-13.14
  └─ Interest received,9.99,16.69,25.67,30.56,33.21
  └─ Other investing items,-330.79,-153.17,8.57,-557.50,-6.64
Cash from Financing Activity,-224,-1195,-1182,-674,-1174
  └─ Proceeds from shares,4993,0,0,0,0
  └─ Proceeds from borrowings,576,0,0,506,0
  └─ Repayment of borrowings,-4993,-3,-3,-4,-8
  └─ Interest paid fin,-0,-41,-47,-56,-74
  └─ Dividends paid,-799,-1151,-1132,-1121,-1092
Net Cash Flow,311,-168,58,9,15
  └─ Free Cash Flow,855,1163,1206,1211,1162
  └─ CFO/OP,152%,-389%,86%,72%,93%
