Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-2,18,32,5,-25
  └─ Profit from operations,12.48,26.62,24.93,23.84,18.13
  └─ Receivables,0.18,-5.86,-15.52,-30.72,2.16
  └─ Inventory,-19.52,41.55,33.47,7.48,-19.82
  └─ Payables,4.52,-40.76,-2.03,6.38,3.66
  └─ Operating borrowings,0.00,0.00,-7.49,0.00,0.00
  └─ Other WC items,-0.15,-0.95,2.64,1.75,-21.47
  └─ Working capital changes,-14.96,-6.02,11.07,-15.11,-35.47
  └─ Direct taxes,0.00,-2.38,-4.09,-3.86,-7.19
  └─ Other operating items,0.00,0.00,-0.02,0.21,0.02
Cash from Investing Activity,-1,-7,-27,-6,-48
  └─ Fixed assets purchased,-0.22,-7.43,-26.62,-3.32,-40.79
  └─ Investments purchased,-1.00,0.00,-0.10,0.00,0.00
  └─ Investments sold,0.00,0.00,0.00,0.00,0.15
  └─ Interest received,0.00,0.19,0.25,0.71,2.89
  └─ Dividends received,0.00,0.00,0.00,0.01,0.01
  └─ Other investing items,0.00,0.00,-0.56,-3.81,-10.67
Cash from Financing Activity,4,-11,-5,63,20
  └─ Proceeds from shares,0.00,0.05,0.00,76.77,0.00
  └─ Proceeds from borrowings,15.17,4.32,3.04,0.00,24.40
  └─ Repayment of borrowings,0.00,0.00,0.00,-8.93,0.00
  └─ Interest paid fin,-11.91,-12.81,-7.73,-3.21,-3.31
  └─ Dividends paid,0.00,-2.51,0.00,-1.88,-1.50
  └─ Other financing items,0.45,0.00,-0.06,0.00,0.00
Net Cash Flow,0,0,0,61,-53
  └─ Free Cash Flow,-3,11,5,2,-65
  └─ CFO/OP,-2264%,158%,206%,38%,-108%
