Metric,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Cash from Operating Activity,4,4,6,10,16,8,15,7,3,19,25
  └─ Profit from operations,4.40,4.58,8.86,15.54,18.20,22.71,22.34,19.38,20.15,26.24,29.31
  └─ Receivables,-0.81,-1.46,-8.33,-3.72,1.40,-8.64,0.31,-0.01,0.97,-1.94,-0.71
  └─ Inventory,-0.33,-1.67,-9.80,-0.71,1.49,-2.64,-0.59,0.07,1.25,0.25,0.94
  └─ Payables,1.52,3.90,16.80,2.05,-0.90,0.00,3.64,-1.22,-11.31,-3.44,0.57
  └─ Loans Advances,0.00,0.00,0.00,0.00,0.00,0.00,-0.83,-4.16,-1.33,2.37,5.41
  └─ Other WC items,0.00,0.00,0.00,0.00,0.00,3.04,-1.40,-0.46,0.16,2.11,-0.62
  └─ Working capital changes,0.38,0.77,-1.33,-2.38,1.99,-8.24,1.13,-5.78,-10.26,-0.64,5.59
  └─ Direct taxes,-0.90,-0.89,-1.15,-3.25,-3.96,-6.36,-8.95,-6.53,-7.01,-6.31,-9.83
Cash from Investing Activity,-12,-7,-16,-2,-7,-4,-5,-4,-1,-17,-8
  └─ Fixed assets purchased,-11.06,-7.16,-16.08,-1.89,-3.26,-3.50,-3.00,-5.42,-5.30,-5.76,-7.57
  └─ Fixed assets sold,0.34,0.00,0.03,0.03,0.08,0.06,0.01,0.01,4.53,0.03,0.11
  └─ Capital WIP,0.00,0.00,0.00,0.00,0.00,0.00,-0.87,0.00,0.00,0.00,0.00
  └─ Interest received,0.00,0.00,0.10,0.10,0.20,0.42,0.54,0.79,0.61,0.60,1.08
  └─ Invest in subsidiaries,-0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other investing items,0.00,0.00,0.00,0.00,-3.59,-1.17,-1.75,0.27,-0.45,-11.39,-1.44
Cash from Financing Activity,5,1,8,-5,-6,-7,-5,-0,-0,-0,-1
  └─ Proceeds from borrowings,8.00,5.99,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Repayment of borrowings,-2.34,-4.25,-2.50,-3.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Interest paid fin,-0.74,-0.76,-1.14,-1.30,-0.78,-0.38,-0.05,0.00,-0.01,0.00,0.00
  └─ Dividends paid,-0.01,-0.01,-0.01,-0.01,0.00,0.00,-0.32,-0.32,-0.33,-0.28,-1.09
  └─ Other financing items,0.00,0.00,10.11,0.00,-5.27,-6.28,-4.93,0.00,0.00,-0.06,-0.23
Net Cash Flow,-3,-2,-1,4,4,-3,4,2,2,2,16
  └─ Free Cash Flow,-7,-3,-10,8,13,5,11,2,2,14,18
  └─ CFO/OP,124%,127%,152%,89%,123%,67%,108%,75%,50%,107%,122%
