Metric,Mar 2009
Cash from Operating Activity,5.21
  └─ Profit from operations,2.36
  └─ Receivables,4.05
  └─ Inventory,-0.09
  └─ Payables,-3.74
  └─ Loans Advances,2.99
  └─ Working capital changes,3.21
  └─ Interest paid,-0.36
Cash from Investing Activity,-3.56
  └─ Fixed assets purchased,-1.50
  └─ Investments purchased,-2.22
  └─ Other investing items,0.16
Cash from Financing Activity,0.56
  └─ Proceeds from borrowings,1.02
  └─ Interest paid fin,-0.46
Net Cash Flow,2.21
  └─ Free Cash Flow,3.71
  └─ CFO/OP,197%
