Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,35,-6,7,38,-10,-5,-4
  └─ Profit from operations,24.17,26.24,7.33,13.50,-4.04,-7.90,-9.86
  └─ Receivables,-5.83,7.86,3.02,2.07,-2.31,-1.31,1.17
  └─ Inventory,0.86,2.06,0.00,0.00,0.00,0.00,0.00
  └─ Payables,6.39,-22.96,-5.65,-4.65,0.30,0.05,0.06
  └─ Other WC items,11.94,-22.12,-0.78,25.60,-3.73,3.96,4.46
  └─ Working capital changes,13.36,-35.17,-3.41,23.02,-5.74,2.70,5.69
  └─ Direct taxes,-2.39,3.11,3.02,1.14,-0.26,0.17,0.03
Cash from Investing Activity,-39,4,-0,-17,0,-1,-0
  └─ Fixed assets purchased,-38.77,-0.60,-0.43,-0.50,-0.37,-1.08,-0.21
  └─ Fixed assets sold,0.00,0.00,0.00,0.00,0.00,0.01,0.00
  └─ Investments purchased,0.00,0.00,-12.07,-17.35,0.00,0.00,0.00
  └─ Investments sold,0.00,0.00,12.38,0.00,0.00,0.00,0.00
  └─ Interest received,0.18,0.44,0.06,0.64,0.66,0.54,0.13
  └─ Other investing items,0.00,4.08,0.00,0.00,0.00,0.00,0.01
Cash from Financing Activity,1,1,-6,0,-0,-0,-3
  └─ Proceeds from shares,1.00,0.00,0.00,0.42,0.00,0.24,0.00
  └─ Repayment of borrowings,0.00,0.00,0.00,0.00,0.00,0.00,-2.24
  └─ Interest paid fin,-0.27,-0.02,-0.06,-0.37,-0.34,-0.37,-0.08
  └─ Other financing items,0.00,1.15,-5.85,0.00,0.00,0.00,-0.52
Net Cash Flow,-3,-1,1,20,-10,-6,-7
  └─ Free Cash Flow,-4,-6,7,37,-10,-6,-4
  └─ CFO/OP,196%,-265%,94%,1353%,150%,66%,42%
