Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-22,36,63,17,-2,31,-20,90
  └─ Profit from operations,33,56,40,70,115,152,192,209
  └─ Receivables,-2,-2,-3,7,-1,-10,-3,0
  └─ Inventory,-35,-13,21,-52,-90,-100,-153,-103
  └─ Payables,-7,3,0,12,14,1,-7,55
  └─ Loans Advances,0,0,-0,-0,0,0,0,-0
  └─ Other WC items,-4,-2,8,-10,-20,15,-15,-30
  └─ Working capital changes,-48,-14,26,-43,-97,-94,-178,-78
  └─ Direct taxes,-7,-6,-3,-10,-20,-28,-35,-42
Cash from Investing Activity,-13,-15,-10,-24,-256,-123,47,-476
  └─ Fixed assets purchased,-13,-14,-9,-24,-56,-32,-73,-71
  └─ Fixed assets sold,0,1,0,0,0,0,0,1
  └─ Investments purchased,0,0,0,-1,-1,-1,0,0
  └─ Interest received,0,0,0,1,8,12,23,21
  └─ Acquisition of companies,0,0,0,0,0,-18,-5,0
  └─ Other investing items,-0,-1,-1,-0,-207,-84,102,-426
Cash from Financing Activity,35,-20,-45,26,249,125,-58,502
  └─ Proceeds from shares,29,21,0,51,375,175,0,590
  └─ Proceeds from borrowings,17,8,14,22,2,0,0,0
  └─ Repayment of borrowings,-3,-9,-37,-15,-53,-2,-5,-2
  └─ Interest paid fin,-8,-8,-17,-16,-16,-15,-20,-33
  └─ Financial liabilities,0,-31,-5,-12,-24,-28,-34,-45
  └─ Other financing items,0,0,0,-4,-35,-5,0,-9
Net Cash Flow,0,2,8,19,-10,33,-32,116
  └─ Free Cash Flow,-35,23,54,-7,-58,-1,-94,19
  └─ CFO/OP,-40%,76%,155%,37%,15%,37%,7%,65%
