Metric,Mar 2006,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,15,54,15,47,184,37,56,54,117,149,86
  └─ Profit from operations,16,56,106,108,93,94,86,148,157,141,117
  └─ Receivables,-11,-21,-47,-5,81,-58,-25,-36,9,47,-17
  └─ Inventory,-4,-0,-11,-40,22,-6,-25,-7,-0,-2,-15
  └─ Payables,12,1,18,17,-4,18,31,-23,-13,-24,17
  └─ Other WC items,0,31,-30,-19,1,2,4,-6,-17,4,-1
  └─ Working capital changes,-3,11,-69,-47,100,-43,-16,-73,-22,25,-16
  └─ Direct taxes,-1,-14,-22,-14,-9,-13,-15,-21,-17,-17,-14
  └─ Exceptional CF items,4,0,0,0,0,0,0,0,0,0,0
Cash from Investing Activity,-48,-119,-72,-85,-40,-51,-56,-41,143,-1,-34
  └─ Fixed assets purchased,-47.81,-16.30,-66.21,-118.34,-61.32,-58.70,-60.16,-29.56,-34.01,-24.05,-32.20
  └─ Fixed assets sold,0.00,1.42,3.25,32.02,33.73,0.36,1.82,7.42,170.78,1.00,0.46
  └─ Investments purchased,0.00,0.00,0.00,-3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Investments sold,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Interest received,0.00,1.72,0.65,3.63,2.98,3.34,1.88,2.71,3.77,3.21,2.41
  └─ Acquisition of companies,0.00,-101.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other investing items,0.00,-4.93,-9.64,1.69,-15.34,4.14,0.03,-21.29,2.76,18.65,-4.77
Cash from Financing Activity,33,26,18,60,-151,25,11,-41,-280,-150,-57
  └─ Proceeds from shares,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02
  └─ Proceeds from borrowings,33.08,0.00,0.00,120.15,21.11,79.04,100.28,55.17,7.96,0.00,0.00
  └─ Repayment of borrowings,0.00,0.00,0.00,-26.32,-133.70,-32.43,-58.23,-62.42,-237.96,-112.47,-24.00
  └─ Interest paid fin,0.00,-1.96,-22.76,-26.14,-28.36,-19.86,-25.40,-28.27,-37.42,-21.31,-14.86
  └─ Dividends paid,0.00,-6.22,-6.21,-7.92,-7.92,0.00,-3.75,-2.82,-4.69,-9.39,-9.40
  └─ Financial liabilities,0.00,0.00,0.00,0.00,-2.08,-1.59,-2.38,-2.55,-8.12,-7.25,-8.85
  └─ Other financing items,0.00,34.05,46.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Net Cash Flow,1,-40,-39,22,-7,12,10,-27,-19,-3,-5
  └─ Free Cash Flow,-32,39,-48,-39,156,-21,-3,32,254,126,54
  └─ CFO/OP,101%,120%,39%,54%,230%,56%,86%,53%,90%,122%,99%
