Metric,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,12.68,-36.74,
  └─ Profit from operations,13.43,13.12,
  └─ Receivables,-3.40,-1.75,
  └─ Inventory,4.38,-2.06,
  └─ Payables,-0.70,0.70,
  └─ Other WC items,-1.04,-46.75,
  └─ Working capital changes,-0.76,-49.86,
Cash from Investing Activity,-17.09,-13.96,
  └─ Fixed assets purchased,-11.51,-13.62,
  └─ Investments purchased,-1.70,0.00,
  └─ Interest received,0.32,0.00,
  └─ Other investing items,-4.21,-0.34,
Cash from Financing Activity,5.62,53.12,
  └─ Proceeds from shares,5,53,
  └─ Proceeds from borrowings,0,0,
  └─ Repayment of borrowings,0,-0,
  └─ Interest paid fin,-0,0,
  └─ Other financing items,0,0,
Net Cash Flow,1.21,2.41,
  └─ Free Cash Flow,1.17,-50.36,
  └─ CFO/OP,72%,-416%,
