Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Cash from Operating Activity,100,45,5,49,179,32,27,25,56,43,20
  └─ Profit from operations,87.22,95.56,93.64,65.03,59.30,71.27,13.33,2.27,-8.35,45.59,-6.47
  └─ Receivables,-12.92,-28.16,-22.69,-4.08,4.94,-58.43,31.85,-3.59,4.45,-0.31,-6.12
  └─ Inventory,-10.93,-57.09,-62.64,82.32,-37.07,-99.23,39.87,56.54,17.56,-46.84,43.14
  └─ Payables,47.42,52.78,7.13,-92.86,156.03,125.07,-56.69,-25.44,21.34,37.52,-45.20
  └─ Loans Advances,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.21,-2.36,11.66,2.80
  └─ Other WC items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-13.44,23.64,-6.86,24.64
  └─ Working capital changes,23.57,-32.47,-78.20,-14.62,123.90,-32.59,15.03,24.28,64.63,-4.84,19.25
  └─ Direct taxes,-10.30,-17.66,-10.43,-1.51,-4.50,-6.27,-1.38,-1.72,-0.04,2.01,7.49
Cash from Investing Activity,-24,-19,-11,-37,-38,-1,-5,-14,-3,8,21
  └─ Fixed assets purchased,-24.52,-20.04,-9.55,-12.80,-52.01,-16.31,-12.32,-16.86,-8.31,-0.41,-0.48
  └─ Fixed assets sold,0.39,0.43,0.20,0.28,0.04,0.20,0.01,0.06,1.29,5.67,18.83
  └─ Capital WIP,-0.42,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00
  └─ Investments purchased,0.00,0.00,0.00,-1.02,-13.06,-138.08,-57.00,0.00,0.00,0.00,0.00
  └─ Investments sold,0.00,0.04,0.00,0.00,0.00,152.04,57.15,0.00,0.00,0.31,0.00
  └─ Interest received,0.20,0.33,0.10,0.90,1.99,1.95,2.51,0.71,0.61,0.42,2.71
  └─ Dividends received,0.11,0.17,0.07,0.05,0.25,0.45,0.12,0.00,0.00,0.00,0.00
  └─ Other investing items,-0.25,0.00,-2.04,-24.10,24.88,-0.85,4.90,2.49,3.89,2.40,-0.53
Cash from Financing Activity,-60,-46,10,-22,-117,-12,-49,-10,-58,-58,-41
  └─ Proceeds from shares,0.00,0.00,0.00,18.92,0.00,0.00,0.00,0.00,0.00,31.67,0.00
  └─ Proceeds from borrowings,4.34,17.70,46.84,23.92,7.86,50.00,17.58,0.00,75.05,12.88,15.00
  └─ Repayment of borrowings,-37.53,-23.98,-11.03,-17.84,-80.00,-27.58,-50.18,0.00,-93.51,-69.24,-31.19
  └─ Interest paid fin,-17.69,-20.99,-23.77,-28.99,-17.94,-18.93,0.00,-39.11,-38.99,-33.44,-30.44
  └─ Dividends paid,-9.57,-19.13,-2.22,-16.35,-8.01,-15.67,-16.33,-0.15,0.00,0.00,0.00
  └─ Other financing items,0.00,0.00,0.00,-2.10,-18.91,0.00,0.00,28.77,-0.17,-0.16,5.41
Net Cash Flow,16,-20,4,-10,24,20,-27,1,-4,-7,-0
  └─ Free Cash Flow,76,26,-4,36,127,16,15,8,49,48,39
  └─ CFO/OP,140%,71%,18%,93%,308%,49%,142%,598%,-570%,111%,-442%
