Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,95,57,86,96,135,-411
  └─ Profit from operations,109,119,102,148,60,73
  └─ Receivables,-1,-3,-8,-10,14,-19
  └─ Inventory,-10,-52,11,-18,23,-2
  └─ Payables,4,12,3,5,69,-42
  └─ Loans Advances,-0,0,-0,-0,-0,0
  └─ Other WC items,7,5,-4,2,-19,-414
  └─ Working capital changes,-1,-37,1,-22,87,-476
  └─ Direct taxes,-14,-24,-17,-30,-12,-8
Cash from Investing Activity,-97,-40,-37,-61,-164,-8
  └─ Fixed assets purchased,-28,-35,-21,-59,-183,-79
  └─ Fixed assets sold,0,0,0,0,0,0
  └─ Interest received,3,3,3,7,4,3
  └─ Other investing items,-72,-8,-19,-9,15,68
Cash from Financing Activity,-21,-56,-50,-34,65,373
  └─ Proceeds from shares,1,3,2,4,1,0
  └─ Proceeds from borrowings,0,0,0,0,110,428
  └─ Repayment of borrowings,0,0,0,0,0,-25
  └─ Interest paid fin,-1,-1,-1,-1,-1,-8
  └─ Dividends paid,-21,-57,-50,-36,-44,-22
  └─ Financial liabilities,-0,-0,-0,-0,-0,-0
Net Cash Flow,-23,-39,-0,1,36,-45
  └─ Free Cash Flow,67,22,66,37,-48,-490
  └─ CFO/OP,103%,69%,102%,86%,257%,-572%
