Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,26,-16,9,13,17,10,4,19,27,12
  └─ Profit from operations,20,27,20,17,24,26,21,25,35,61
  └─ Receivables,7,-26,-7,-9,-5,-5,11,-1,-20,-43
  └─ Inventory,-3,-3,-3,-3,-2,-3,-6,-2,-3,-5
  └─ Payables,1,-1,5,10,3,-4,-9,-3,13,5
  └─ Loans Advances,0,-1,0,0,0,0,0,0,0,0
  └─ Operating borrowings,4,-6,0,0,0,0,0,0,0,0
  └─ Other WC items,-1,-3,-3,0,-1,-1,-9,2,5,0
  └─ Working capital changes,8,-40,-7,-1,-5,-13,-13,-3,-5,-42
  └─ Direct taxes,-2,-3,-4,-3,-2,-4,-4,-3,-3,-7
Cash from Investing Activity,-33,-3,10,-26,-6,-3,-14,-38,-4,-38
  └─ Fixed assets purchased,-29.39,-5.29,-2.48,-28.89,-7.21,-8.62,-14.38,-37.79,-5.70,-47.54
  └─ Fixed assets sold,0.21,2.21,14.53,1.46,4.28,3.37,1.04,0.75,11.51,2.89
  └─ Investments purchased,-0.25,-0.40,-0.18,-0.10,-0.21,0.00,0.00,0.00,0.00,0.00
  └─ Investments sold,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.21,0.12,0.93
  └─ Interest received,0.27,0.28,0.22,0.27,0.30,0.37,0.43,0.74,1.08,1.71
  └─ Investment in group cos,0.00,0.00,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,-0.40
  └─ Acquisition of companies,-0.63,-0.07,-0.07,0.00,-0.01,0.00,0.00,0.00,0.00,0.00
  └─ Other investing items,-3.64,0.21,-1.35,1.24,-2.74,1.34,-0.62,-1.74,-11.28,4.88
Cash from Financing Activity,10,18,-16,11,-11,-4,7,19,-4,7
  └─ Proceeds from shares,0.80,36.28,0.00,0.00,0.00,0.00,0.00,0.00,25.48,0.00
  └─ Proceeds from borrowings,11.57,10.05,0.00,15.82,0.00,2.17,16.99,28.30,0.00,36.50
  └─ Repayment of borrowings,-10.31,-7.96,-11.60,0.00,-5.45,-1.03,-3.36,0.00,-27.79,-20.79
  └─ Proceeds from deposits,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Interest paid fin,-5.44,-6.30,-4.12,-4.79,-5.26,-4.93,-5.89,-8.33,-8.63,-8.38
  └─ Dividends paid,0.00,0.00,0.00,-0.49,-0.35,-0.35,-0.35,-0.53,-0.37,0.00
  └─ Other financing items,12.49,-14.17,0.00,0.00,0.00,0.00,0.00,0.00,7.74,0.00
Net Cash Flow,2,-2,3,-2,-0,2,-3,0,19,-18
  └─ Free Cash Flow,-3,-20,21,-14,14,4,-10,-18,32,-33
  └─ CFO/OP,137%,-54%,66%,100%,78%,53%,38%,86%,88%,32%
