Metric,Mar 2025,Mar 2026
Cash from Operating Activity,2,0
  └─ Profit from operations,10.25,9.36
  └─ Receivables,-6.29,-5.62
  └─ Inventory,-1.94,-4.18
  └─ Payables,2.33,3.49
  └─ Loans Advances,0.18,-0.81
  └─ Other WC items,-0.93,0.16
  └─ Working capital changes,-6.65,-6.96
  └─ Direct taxes,-1.78,-2.36
Cash from Investing Activity,-1,-17
  └─ Fixed assets purchased,-2.66,-16.00
  └─ Interest received,0.04,0.07
  └─ Other investing items,1.95,-1.22
Cash from Financing Activity,-1,17
  └─ Proceeds from borrowings,0.00,17.53
  └─ Repayment of borrowings,-1.00,0.00
  └─ Interest paid fin,-0.14,-0.47
Net Cash Flow,0,-0
  └─ Free Cash Flow,-1,-16
  └─ CFO/OP,40%,26%
