Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Cash from Operating Activity,2.01,2.45,3.00,5.20,-69.04,-10.27,13.57,-1.95,12.25,-10.17,5.06
  └─ Profit from operations,2.28,1.40,3.31,4.13,6.54,-3.29,3.16,4.62,-2.52,-75.83,-33.75
  └─ Receivables,-0.01,-0.05,-0.05,2.11,-25.40,-14.21,-6.30,-3.25,5.55,10.77,-1.11
  └─ Inventory,-0.49,0.42,0.05,-0.04,-1.24,0.01,0.05,0.67,0.34,0.00,0.00
  └─ Payables,0.05,0.44,0.03,-0.05,12.01,12.82,-8.00,1.66,16.73,-13.25,3.86
  └─ Loans Advances,0.00,0.00,0.00,0.00,0.00,0.85,10.86,3.24,-24.64,48.76,23.11
  └─ Other WC items,0.00,0.00,0.00,0.00,0.00,-1.97,13.80,-8.90,16.79,19.37,12.94
  └─ Working capital changes,-0.45,0.81,0.03,2.02,-14.63,-2.50,10.41,-6.57,14.77,65.66,38.81
  └─ Interest paid,0.39,0.39,0.29,0.01,2.92,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Direct taxes,-0.21,-0.15,-0.63,-0.96,-1.01,-1.04,0.00,0.00,0.00,0.00,0.00
  └─ Exceptional CF items,0.00,0.00,0.00,0.00,-62.86,-3.44,0.00,0.00,0.00,0.00,0.00
Cash from Investing Activity,-0.71,-0.66,-1.50,-4.05,-19.34,-1.43,-9.10,-8.41,0.00,9.47,-0.12
  └─ Fixed assets purchased,-0.36,-0.12,-0.01,-1.15,-4.62,-1.78,-9.21,-8.47,0.00,9.47,-0.12
  └─ Fixed assets sold,0.00,0.05,0.01,0.09,0.24,0.35,0.12,0.06,0.00,0.00,0.00
  └─ Capital WIP,0.00,-0.18,-1.28,-3.40,-12.13,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Investments purchased,0.00,-0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Investments sold,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Interest received,-0.35,-0.35,-0.22,0.26,-2.83,0.00,0.00,0.00,0.00,0.00,0.00
Cash from Financing Activity,-0.42,-1.59,-1.61,-2.27,95.68,13.81,-7.71,2.22,-11.71,-0.43,-6.09
  └─ Proceeds from shares,0.00,0.00,0.00,0.00,22.30,33.53,0.00,0.00,0.00,0.00,0.00
  └─ Proceeds from borrowings,1.50,0.20,0.00,0.00,73.68,0.00,0.56,5.57,0.00,0.00,0.00
  └─ Repayment of borrowings,-0.32,-0.03,0.00,0.00,0.00,-14.69,-4.18,-0.56,0.00,0.00,0.00
  └─ Interest paid fin,0.00,0.00,0.00,0.00,0.00,-4.80,-4.14,-2.79,-11.71,-0.43,-6.09
  └─ Dividends paid,-0.36,-0.36,-0.24,-0.60,-0.30,-0.23,0.00,0.00,0.00,0.00,0.00
  └─ Financial liabilities,-1.24,-1.40,-1.37,-1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other financing items,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00
Net Cash Flow,0.88,0.20,-0.11,-1.12,7.30,2.11,-3.25,-8.14,0.54,-1.13,-1.16
  └─ Free Cash Flow,1.65,2.20,1.72,0.74,-85.55,-11.70,4.48,-10.36,12.25,-0.70,4.94
  └─ CFO/OP,-285%,-130%,-261%,-281%,-3489%,111%,-1859%,-291%,-135%,9%,-172%
