Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,130,52,156,141,222,-37,424,393,477,459
  └─ Profit from operations,237,217,250,272,337,370,331,445,552,549
  └─ Receivables,-37,-137,-14,128,-65,-98,-30,-45,52,8
  └─ Inventory,-67,-37,-60,-103,-153,-228,128,-44,-185,-27
  └─ Payables,66,110,27,-54,170,-22,15,62,108,83
  └─ Loans Advances,-3,-1,0,0,0,0,0,5,-0,0
  └─ Other WC items,-2,-59,5,-23,6,29,28,53,58,-47
  └─ Working capital changes,-42,-124,-42,-51,-41,-318,141,31,32,17
  └─ Direct taxes,-66,-41,-52,-79,-74,-89,-49,-83,-108,-108
Cash from Investing Activity,-106,-25,-51,-112,41,-121,-771,-153,-97,-364
  └─ Fixed assets purchased,-43,-42,-55,-85,-65,-125,-103,-128,-121,-180
  └─ Fixed assets sold,1,0,2,0,0,0,1,1,1,1
  └─ Investments purchased,-1532,-1012,-8,0,-33,0,0,-28,-0,-166
  └─ Investments sold,1463,1026,0,47,36,0,5,0,27,0
  └─ Interest received,1,1,3,7,14,3,2,3,2,2
  └─ Dividends received,4,5,6,6,0,0,0,0,0,0
  └─ Invest in subsidiaries,0,0,0,0,0,0,-655,0,0,0
  └─ Investment in group cos,0,0,0,0,0,0,0,-20,0,-25
  └─ Acquisition of companies,0,-3,0,0,0,0,0,0,0,0
  └─ Other investing items,0,1,1,-87,89,0,-22,20,-6,4
Cash from Financing Activity,-16,-37,-25,-91,-6,-62,326,-232,-378,-98
  └─ Proceeds from shares,9,3,5,2,5,5,2,6,8,6
  └─ Proceeds from borrowings,0,1,9,0,0,0,408,0,0,0
  └─ Repayment of borrowings,-15,-4,-2,-1,0,-1,0,-130,-280,-2
  └─ Interest paid fin,-1,-1,-1,-1,-5,-7,-16,-37,-26,-12
  └─ Dividends paid,-9,-36,-36,-88,-0,-52,-56,-56,-61,-65
  └─ Financial liabilities,0,0,0,-4,-5,-7,-11,-16,-19,-24
Net Cash Flow,8,-10,80,-62,257,-220,-21,8,3,-3
  └─ Free Cash Flow,88,11,103,57,158,-161,323,265,357,279
  └─ CFO/OP,93%,49%,93%,85%,95%,15%,148%,111%,114%,107%
