Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,10,11,4,-57
  └─ Profit from operations,9,14,24,27
  └─ Receivables,-2,-3,-6,-10
  └─ Inventory,0,-0,-0,-0
  └─ Payables,1,2,-3,3
  └─ Loans Advances,-0,-0,-7,-25
  └─ Other WC items,4,0,-0,-49
  └─ Working capital changes,3,-2,-16,-80
  └─ Direct taxes,-3,-2,-4,-4
Cash from Investing Activity,-12,-8,-5,-13
  └─ Fixed assets purchased,-9.91,-1.35,-2.02,-9.46
  └─ Capital WIP,-2.14,-7.17,-2.95,-4.12
  └─ Interest received,0.07,0.05,0.03,0.89
Cash from Financing Activity,4,-1,3,71
  └─ Proceeds from shares,0,0,0,75
  └─ Proceeds from borrowings,6,21,15,18
  └─ Repayment of borrowings,-2,-21,-11,-17
  └─ Interest paid fin,-0,-0,-2,-2
  └─ Other financing items,0,0,0,-4
Net Cash Flow,2,1,2,1
  └─ Free Cash Flow,-2,2,-1,-70
  └─ CFO/OP,141%,92%,34%,-209%
