Metric,Mar 2017
Cash from Operating Activity,-4
  └─ Profit from operations,13.53
  └─ Receivables,-7.41
  └─ Inventory,-6.08
  └─ Payables,-1.57
  └─ Working capital changes,-15.06
  └─ Direct taxes,-2.18
Cash from Investing Activity,5
  └─ Fixed assets purchased,-0.01
  └─ Fixed assets sold,0.64
  └─ Investments purchased,-23.55
  └─ Investments sold,28.13
Cash from Financing Activity,-1
  └─ Repayment of borrowings,-0.70
  └─ Interest paid fin,-0.09
Net Cash Flow,1
  └─ Free Cash Flow,-3
  └─ CFO/OP,-12%
