Metric,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,3,-20,5
  └─ Profit from operations,9.26,11.54,21.88
  └─ Receivables,-9.79,2.06,-6.49
  └─ Inventory,-10.32,-14.92,-6.37
  └─ Payables,3.01,-4.62,-0.97
  └─ Loans Advances,0.07,0.05,0.00
  └─ Operating borrowings,10.53,-10.32,0.00
  └─ Other WC items,1.48,-1.73,1.77
  └─ Working capital changes,-5.02,-29.49,-12.06
  └─ Direct taxes,-1.17,-1.62,-4.64
Cash from Investing Activity,-3,-14,-12
  └─ Fixed assets purchased,-15.09,-15.65,-12.54
  └─ Fixed assets sold,14.15,2.06,0.00
  └─ Other investing items,-1.61,0.00,0.19
Cash from Financing Activity,1,43,-3
  └─ Proceeds from shares,2.50,45.03,0.00
  └─ Proceeds from borrowings,0.13,0.00,0.86
  └─ Repayment of borrowings,-1.22,-1.62,-2.81
  └─ Interest paid fin,0.00,0.00,-1.12
  └─ Other financing items,-0.01,0.00,0.00
Net Cash Flow,2,10,-10
  └─ Free Cash Flow,2,-33,-7
  └─ CFO/OP,37%,-133%,44%
