Metric,Mar 2026
Cash from Operating Activity,-43
  └─ Profit from operations,16
  └─ Receivables,25
  └─ Inventory,-62
  └─ Payables,-1
  └─ Loans Advances,-19
  └─ Operating borrowings,9
  └─ Other WC items,-11
  └─ Working capital changes,-59
  └─ Direct taxes,-1
Cash from Investing Activity,-16
  └─ Fixed assets purchased,-12.46
  └─ Other investing items,-3.26
Cash from Financing Activity,47
  └─ Proceeds from shares,44.64
  └─ Proceeds from borrowings,5.24
  └─ Interest paid fin,-6.40
  └─ Other financing items,3.45
Net Cash Flow,-12
  └─ Free Cash Flow,-56
  └─ CFO/OP,-297%
