Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,11,21,11,-23,34
  └─ Profit from operations,20.57,23.60,24.15,22.16,41.41
  └─ Receivables,-12.04,-10.24,-5.75,-38.76,-13.23
  └─ Inventory,-5.43,0.50,-3.85,-25.15,-0.62
  └─ Payables,11.72,2.62,8.23,21.00,-2.69
  └─ Loans Advances,0.48,2.11,-0.20,0.46,-0.75
  └─ Other WC items,-0.65,6.50,-5.91,-0.10,14.30
  └─ Working capital changes,-5.93,1.48,-7.47,-42.55,-2.99
  └─ Direct taxes,-3.29,-3.97,-5.22,-2.97,-4.30
Cash from Investing Activity,-1,-49,-69,-5,-1
  └─ Fixed assets purchased,-1.30,-35.82,-64.91,-4.95,-1.21
  └─ Fixed assets sold,0.73,0.07,0.12,0.17,0.09
  └─ Capital WIP,0.12,0.00,0.00,0.00,0.00
  └─ Investments purchased,-0.67,-0.36,0.00,0.00,0.00
  └─ Investments sold,0.18,1.03,0.00,0.00,0.00
  └─ Interest received,0.09,0.16,0.63,0.55,0.58
  └─ Inter corporate deposits,0.00,0.00,0.00,0.00,-0.95
  └─ Other investing items,0.05,-14.19,-4.59,-0.44,0.00
Cash from Financing Activity,-15,26,56,27,-33
  └─ Proceeds from borrowings,0.00,34.37,65.75,57.56,36.50
  └─ Repayment of borrowings,-10.41,-5.59,-2.00,-11.20,-49.96
  └─ Interest paid fin,-4.68,-5.76,-7.27,-17.37,-17.69
  └─ Financial liabilities,0.00,0.00,-0.75,-1.59,-1.39
  └─ Other financing items,0.00,3.29,0.00,0.00,0.00
Net Cash Flow,-5,-2,-2,-1,0
  └─ Free Cash Flow,11,-15,-53,-28,33
  └─ CFO/OP,75%,104%,77%,-93%,91%
