Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,18,22,6,-12,50,22,57,8
  └─ Profit from operations,24,45,-0,25,102,100,97,6
  └─ Receivables,12,-26,29,-55,-114,-63,-30,157
  └─ Payables,10,14,-28,39,70,24,2,-132
  └─ Other WC items,-18,5,4,-13,10,-5,14,-22
  └─ Working capital changes,4,-6,5,-29,-34,-44,-14,3
  └─ Direct taxes,-10,-16,2,-8,-19,-34,-25,-1
Cash from Investing Activity,-7,0,-27,6,-30,-15,-46,-30
  └─ Fixed assets purchased,-0,-7,-36,-5,-1,-2,-1,-3
  └─ Fixed assets sold,0,0,0,0,0,0,1,0
  └─ Investments purchased,0,0,0,-3,-45,-304,-594,-547
  └─ Investments sold,0,0,8,26,8,306,551,515
  └─ Interest received,0,0,1,0,1,2,2,2
  └─ Acquisition of companies,0,0,0,0,-1,-1,0,0
  └─ Other investing items,-7,7,0,-13,9,-16,-4,1
Cash from Financing Activity,-5,1,-2,-3,-2,3,-8,1
  └─ Proceeds from shares,0.00,0.00,0.00,0.00,0.00,7.48,2.35,0.00
  └─ Proceeds from borrowings,0.00,1.05,0.00,0.00,0.00,0.40,0.00,3.41
  └─ Repayment of borrowings,-5.16,0.00,-1.07,-0.74,-0.25,-0.98,-0.23,-0.19
  └─ Interest paid fin,-0.32,-0.35,-0.27,-1.13,-0.63,-0.43,-1.03,-0.08
  └─ Dividends paid,0.00,0.00,0.00,0.00,0.00,-2.65,-7.96,0.00
  └─ Financial liabilities,0.00,0.00,-0.20,-1.18,-1.18,-1.20,-1.36,-2.30
Net Cash Flow,5,23,-22,-9,18,9,3,-21
  └─ Free Cash Flow,17,15,-30,-16,49,20,57,5
  └─ CFO/OP,117%,85%,-1171%,-18%,69%,59%,93%,312%
