Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,1,24,32,43,103,-25,-6,69,100,423
  └─ Profit from operations,12,37,53,85,100,117,182,89,76,450
  └─ Receivables,-5,-7,-8,-17,-23,-38,4,-13,9,2
  └─ Inventory,-0,-0,-3,-9,6,-87,-143,19,8,61
  └─ Payables,-1,2,-1,1,40,8,-36,-7,16,-19
  └─ Working capital changes,-6,-5,-12,-25,24,-116,-175,-1,33,44
  └─ Direct taxes,-5,-7,-8,-17,-20,-25,-14,-20,-8,-72
Cash from Investing Activity,8,-3,162,20,-67,-26,-116,-215,-142,-736
  └─ Fixed assets purchased,-72,-17,-21,-81,-84,-192,-348,-217,-109,-199
  └─ Fixed assets sold,0,51,0,91,68,5,1,0,1,2
  └─ Investments purchased,-384,-247,-359,-262,-337,-190,-21,0,-313,-841
  └─ Investments sold,443,187,543,261,274,328,237,0,294,299
  └─ Interest received,11,15,19,10,9,9,2,1,3,3
  └─ Dividends received,11,14,18,3,1,0,0,0,0,0
  └─ Invest in subsidiaries,0,0,0,0,0,0,-82,0,0,0
  └─ Investment in group cos,0,0,0,0,0,0,-11,0,0,0
  └─ Acquisition of companies,0,0,-27,-5,0,-0,0,0,-18,0
  └─ Other investing items,-1,-6,-9,3,2,15,106,0,0,0
Cash from Financing Activity,-8,-22,-193,-64,-31,40,238,168,-53,323
  └─ Proceeds from shares,0,0,0,0,0,0,4,1,191,392
  └─ Proceeds from borrowings,0,0,21,0,2,210,276,220,0,2
  └─ Repayment of borrowings,-2,-12,-20,-52,-20,-153,-18,-66,-322,-97
  └─ Proceeds from deposits,0,0,0,0,2,0,0,0,0,0
  └─ Interest paid fin,-0,-2,-3,-9,-7,-6,-19,-33,-41,-17
  └─ Dividends paid,-5,-7,-16,0,-7,-7,0,0,0,0
  └─ Financial liabilities,0,0,0,0,0,0,-1,-3,-3,-1
  └─ Other financing items,0,-0,-175,-3,0,-3,-4,49,123,43
Net Cash Flow,1,-1,2,-1,6,-10,115,21,-95,10
  └─ Free Cash Flow,-71,58,11,54,87,-212,-353,-148,-8,226
  └─ CFO/OP,65%,108%,88%,98%,135%,1%,5%,152%,186%,112%
