Metric,Mar 2024,Mar 2025
  └─ Profit from operations,3,8
  └─ Receivables,-18,-38
  └─ Inventory,-2,-4
  └─ Payables,19,-17
  └─ Loans Advances,3,-34
  └─ Other WC items,-0,3
  └─ Working capital changes,2,-90
  └─ Direct taxes,-0,-2
  └─ Fixed assets sold,8.96,0.00
  └─ Investments purchased,-0.04,0.00
  └─ Investments sold,0.00,0.04
  └─ Interest received,0.02,0.01
  └─ Other investing items,-3.30,0.48
  └─ Proceeds from shares,0,69
  └─ Repayment of borrowings,-8,-1
  └─ Interest paid fin,-1,-1
  └─ Other financing items,0,16
