Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-3,1,8,-40,-5
  └─ Profit from operations,5.87,5.21,7.26,15.14,24.33
  └─ Other WC items,-8.49,-3.95,2.16,-54.30,-25.04
  └─ Working capital changes,-8.49,-3.95,2.16,-54.30,-25.04
  └─ Direct taxes,0.00,0.00,-0.94,-0.74,-4.31
Cash from Investing Activity,1,-5,-0,-12,-14
  └─ Fixed assets purchased,0.00,-0.27,-0.12,-0.31,-1.09
  └─ Fixed assets sold,0.04,0.00,0.00,0.03,0.00
  └─ Investments purchased,0.00,0.00,0.00,0.00,-12.57
  └─ Investments sold,0.00,0.00,7.96,28.40,0.00
  └─ Interest received,0.00,0.00,0.00,0.00,0.03
  └─ Other investing items,0.49,-4.48,-8.00,-39.96,-0.01
Cash from Financing Activity,2,4,-8,52,22
  └─ Proceeds from shares,1.54,4.05,0.00,40.61,23.15
  └─ Proceeds from borrowings,0.54,0.00,0.00,346.03,3.16
  └─ Repayment of borrowings,0.00,-0.39,-8.20,-342.26,-0.11
  └─ Interest paid fin,0.00,0.00,0.00,0.00,-4.06
  └─ Dividends paid,0.00,0.00,0.00,-0.25,-0.36
  └─ Other financing items,0.00,0.00,0.00,7.59,0.00
Net Cash Flow,-0,0,0,-0,3
  └─ Free Cash Flow,-3,1,8,-40,-6
  └─ CFO/OP,-38%,17%,86%,-228%,-3%
