Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,,-2144,-1018,-693,-844,646,308,632
  └─ Profit from operations,,,-2127,-280,-922,-637,633,1519,2226
  └─ Receivables,,,-94,-20,-34,-203,-348,-1117,117
  └─ Inventory,,,-2,-11,-28,-43,-5,-88,-2042
  └─ Payables,,,-103,36,140,-71,211,629,1478
  └─ Other WC items,,,214,-762,170,141,260,-517,-781
  └─ Working capital changes,,,15,-757,248,-176,118,-1093,-1228
  └─ Direct taxes,,,-32,19,-19,-31,-105,-118,0
  └─ Other operating items,,,0,0,0,0,0,0,-366
Cash from Investing Activity,,,1740,-5245,-7971,797,-348,-7993,536
  └─ Fixed assets purchased,,,-21,-10,-59,-103,-215,-936,-1751
  └─ Fixed assets sold,,,0,0,2,2,13,5,5
  └─ Investments purchased,,,-2148,-8341,-7376,-15058,-35202,-47974,-47885
  └─ Investments sold,,,4046,6521,5308,12649,30445,46853,45867
  └─ Interest received,,,25,11,113,490,618,819,953
  └─ Redemp n Canc of Shares,,,0,0,1,0,0,0,0
  └─ Acquisition of companies,,,0,-20,0,0,0,0,0
  └─ Other investing items,,,-162,-3405,-5960,2817,3993,-6760,3347
Cash from Financing Activity,,,359,6402,8750,-127,-207,8042,-842
  └─ Proceeds from shares,,,0,6608,9008,11,32,8505,12
  └─ Proceeds from borrowings,,,0,2,0,0,0,0,0
  └─ Repayment of borrowings,,,0,-4,-1,-23,-40,0,0
  └─ Interest paid fin,,,-11,-9,-10,-50,-69,-151,-383
  └─ Financial liabilities,,,-20,-14,-20,-65,-129,-258,-471
  └─ Other financing items,,,390,-181,-226,0,-1,-54,0
Net Cash Flow,,,-45,139,86,-174,91,357,326
  └─ Free Cash Flow,,,-2165,-1028,-750,-945,444,-623,-1114
  └─ CFO/OP,,,92%,222%,36%,67%,1747%,66%,52%
