Metric,Mar 2025,Mar 2026
Cash from Operating Activity,-1.53,-4.03
  └─ Profit from operations,6.39,0.98
  └─ Receivables,-8.15,2.14
  └─ Payables,3.33,-2.12
  └─ Loans Advances,-0.32,-0.15
  └─ Operating investments,0.02,-1.76
  └─ Other WC items,-1.12,-2.91
  └─ Working capital changes,-6.23,-4.80
  └─ Direct taxes,-1.69,-0.22
Cash from Investing Activity,-2.60,-1.24
  └─ Fixed assets purchased,-5.13,-1.90
  └─ Interest received,0.88,0.60
  └─ Other investing items,1.65,0.06
Cash from Financing Activity,15.59,-0.20
  └─ Proceeds from shares,1.08,0.00
  └─ Dividends paid,0.00,-0.20
  └─ Other financing items,14.51,0.00
Net Cash Flow,11.46,-5.48
  └─ Free Cash Flow,-6.66,-5.93
  └─ CFO/OP,2%,-385%
