Metric,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,17,14,43,55,59,56,80,1,24,56,6,-10
  └─ Profit from operations,35,53,85,118,122,121,117,112,93,109,132,147
  └─ Receivables,-47,-25,-25,-33,7,-22,-8,-23,-35,-14,-59,-68
  └─ Inventory,0,-3,0,0,0,0,0,0,0,0,0,0
  └─ Payables,16,-4,3,28,-10,3,-23,-1,5,-2,4,6
  └─ Loans Advances,-21,-12,0,0,0,0,0,0,0,0,0,0
  └─ Operating borrowings,14,4,0,0,0,0,0,0,0,0,0,0
  └─ Other WC items,25,6,-12,-45,-31,-31,15,-60,-18,-28,-57,-74
  └─ Working capital changes,-13,-34,-34,-49,-35,-50,-16,-84,-48,-44,-112,-136
  └─ Direct taxes,-5,-6,-8,-14,-28,-14,-21,-27,-21,-9,-14,-22
  └─ Other operating items,0,0,0,0,-0,0,0,0,0,0,0,0
  └─ Exceptional CF items,-0,0,0,0,0,0,0,0,0,0,0,0
Cash from Investing Activity,-56,-29,-46,-40,-39,-39,32,-4,-72,-40,-25,-168
  └─ Fixed assets purchased,-58,-29,-3,-31,-11,-53,-6,-12,-21,-22,-11,-65
  └─ Fixed assets sold,0,0,0,0,12,0,64,9,1,0,1,0
  └─ Capital WIP,0,0,0,0,0,0,0,0,0,-18,-14,-133
  └─ Investments sold,2,0,0,0,0,0,0,0,0,0,0,0
  └─ Other investing items,0,0,-43,-9,-39,14,-27,-1,-53,-0,-1,29
Cash from Financing Activity,51,7,12,-10,-15,-13,-102,-11,53,-19,19,188
  └─ Proceeds from shares,0,0,1,1,0,0,0,0,0,2,0,109
  └─ Proceeds from borrowings,42,1,0,0,9,0,0,14,40,0,30,36
  └─ Repayment of borrowings,0,-1,0,0,0,-7,-15,0,0,-3,0,0
  └─ Interest paid fin,-6,-9,-10,-16,-19,-16,-13,-12,-11,-18,-20,-21
  └─ Dividends paid,0,0,0,0,0,0,0,-2,0,0,0,0
  └─ Financial liabilities,0,0,0,0,0,-5,-8,-0,0,-3,-3,0
  └─ Share application money,3,15,0,0,0,0,0,0,0,0,0,0
  └─ Other financing items,12,0,21,5,-6,16,-67,-10,25,3,11,64
Net Cash Flow,12,-9,8,4,5,4,9,-14,5,-2,-0,10
  └─ Free Cash Flow,-41,-15,40,24,60,3,138,-3,5,17,-18,-208
  └─ CFO/OP,66%,39%,63%,58%,74%,62%,93%,27%,49%,62%,16%,8%
