Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,25,13,3,18,35,-4,44,2,14,9,8
  └─ Profit from operations,3.79,13.00,22.76,24.92,16.66,13.29,13.79,14.93,17.94,20.10,25.64
  └─ Receivables,9.15,15.34,3.19,6.41,0.40,-3.14,-1.21,3.08,3.52,-10.17,6.73
  └─ Inventory,10.53,-3.35,-20.64,-22.74,20.48,-8.72,25.39,-33.89,-6.84,6.45,-29.40
  └─ Payables,1.72,-5.33,20.42,-2.77,-1.60,-2.20,-9.69,12.62,-4.52,10.29,-0.16
  └─ Other WC items,0.00,-6.09,-21.89,13.10,-0.15,-2.44,18.90,6.57,6.73,-15.42,8.22
  └─ Working capital changes,21.40,0.57,-18.92,-5.99,19.13,-16.50,33.38,-11.63,-1.12,-8.85,-14.61
  └─ Direct taxes,0.00,-0.20,-0.97,-1.10,-1.21,-1.00,-3.16,-1.53,-2.54,-2.40,-3.35
Cash from Investing Activity,-16,2,1,-7,-3,1,-5,-11,-6,-11,-15
  └─ Fixed assets purchased,-2.56,-8.26,-1.79,-3.14,-3.77,-2.59,-4.93,-11.21,-9.13,-9.18,-10.56
  └─ Fixed assets sold,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Investments sold,0.00,9.02,0.02,0.00,0.00,0.00,2.00,2.00,6.00,0.00,0.00
  └─ Other investing items,-14.41,1.64,3.18,-4.08,0.67,3.12,-2.13,-2.03,-2.50,-1.64,-4.74
Cash from Financing Activity,-10,-16,-4,-11,-31,5,-26,-5,-8,1,7
  └─ Proceeds from shares,0.00,0.00,0.00,0.00,0.00,12.00,14.48,0.00,0.00,0.00,0.00
  └─ Proceeds from borrowings,1.55,3.87,8.44,1.50,0.00,6.66,11.61,0.90,1.81,15.27,14.01
  └─ Repayment of borrowings,-2.32,-8.96,-0.37,-1.75,-21.89,-2.68,-29.92,-0.98,-2.18,-8.08,0.00
  └─ Interest paid fin,-9.45,-11.15,-11.58,-11.19,-9.07,-6.46,-5.03,-3.20,-5.15,-3.89,-5.02
  └─ Financial liabilities,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.00
  └─ Other financing items,-0.06,0.00,0.00,0.00,0.00,-4.20,-17.40,-2.00,-2.00,-2.00,0.00
Net Cash Flow,-1,-0,1,-1,1,2,13,-15,1,-1,-1
  └─ Free Cash Flow,23,5,1,15,31,-7,39,-9,5,-0,-3
  └─ CFO/OP,1702%,83%,18%,85%,239%,-25%,306%,24%,103%,60%,47%
