Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-1,2,2,7
  └─ Profit from operations,14.26,16.98,18.81,22.37
  └─ Receivables,21.97,-6.39,-11.41,-3.37
  └─ Inventory,-18.28,-14.11,-9.76,5.78
  └─ Payables,-4.49,7.77,2.92,-3.83
  └─ Other WC items,-10.62,2.27,5.75,-7.80
  └─ Working capital changes,-11.42,-10.45,-12.50,-9.21
  └─ Direct taxes,-3.84,-4.39,-4.74,-5.87
Cash from Investing Activity,-0,-6,-1,-3
  └─ Fixed assets purchased,-0.42,-5.40,-0.88,-2.69
  └─ Invest in subsidiaries,0.00,-0.17,0.00,0.00
Cash from Financing Activity,1,4,-0,-5
  └─ Proceeds from shares,4.40,0.20,0.00,0.00
  └─ Proceeds from borrowings,0.00,4.67,1.23,0.25
  └─ Repayment of borrowings,-2.08,0.00,0.00,-3.70
  └─ Interest paid fin,-0.86,-1.17,-1.20,-1.10
  └─ Financial liabilities,0.00,0.00,-0.42,0.00
Net Cash Flow,0,0,0,0
  └─ Free Cash Flow,-1,-3,1,5
  └─ CFO/OP,21%,40%,35%,62%
