Metric,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-9,12,-15
  └─ Profit from operations,13.87,16.59,19.97
  └─ Receivables,-9.95,-2.36,-27.38
  └─ Inventory,-6.28,-1.82,-36.46
  └─ Payables,-2.58,2.13,25.22
  └─ Loans Advances,-1.42,0.99,-0.10
  └─ Other WC items,-0.34,-0.11,7.37
  └─ Working capital changes,-20.57,-1.16,-31.35
  └─ Direct taxes,-2.35,-3.08,-3.92
Cash from Investing Activity,-1,-1,-3
  └─ Fixed assets purchased,-1.22,-0.83,-2.44
  └─ Investments purchased,-0.21,-0.43,-0.62
Cash from Financing Activity,14,-10,16
  └─ Proceeds from shares,20.24,0.00,0.00
  └─ Proceeds from borrowings,8.25,2.47,22.24
  └─ Repayment of borrowings,-11.44,-9.51,-2.61
  └─ Interest paid fin,-3.18,-2.98,-3.51
  └─ Other financing items,0.05,0.06,0.07
Net Cash Flow,3,1,-2
  └─ Free Cash Flow,-10,12,-18
  └─ CFO/OP,-48%,94%,-65%
