Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,11,2,-20,45
  └─ Profit from operations,13.89,20.24,24.09,29.81
  └─ Receivables,-6.25,-11.71,-17.91,-7.59
  └─ Inventory,-9.30,-2.38,-15.15,-24.56
  └─ Payables,7.13,4.94,-1.82,29.69
  └─ Operating investments,-0.25,-0.24,0.00,0.00
  └─ Operating borrowings,8.31,3.55,0.00,0.00
  └─ Other WC items,-2.14,-10.00,-4.84,21.79
  └─ Working capital changes,-2.50,-15.82,-39.71,19.34
  └─ Direct taxes,-0.09,-2.79,-4.73,-4.58
Cash from Investing Activity,-5,-19,-42,-92
  └─ Fixed assets purchased,-1,-3,-28,-29
  └─ Fixed assets sold,0,0,0,0
  └─ Capital WIP,0,0,14,-82
  └─ Investments purchased,-4,-15,-0,-5
  └─ Investments sold,0,0,0,1
  └─ Interest received,0,0,0,0
  └─ Other investing items,-1,-2,-27,23
Cash from Financing Activity,-6,18,62,51
  └─ Proceeds from shares,0.00,14.93,51.82,12.21
  └─ Proceeds from borrowings,0.00,4.50,15.30,45.03
  └─ Repayment of borrowings,-5.62,0.00,-1.22,-0.11
  └─ Interest paid fin,-0.85,-1.26,-3.70,-5.89
Net Cash Flow,-0,1,-0,3
  └─ Free Cash Flow,11,-1,-35,-66
  └─ CFO/OP,83%,23%,-69%,172%
