Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Cash from Operating Activity,295,-224,12,-781,-1272,-63,120,670,241,162,100,,
  └─ Profit from operations,175,164,133,116,252,88,65,68,60,17,13,,117
  └─ Receivables,-308,-505,343,-189,-551,353,2,719,460,142,86,,-467
  └─ Inventory,-10,-21,41,-42,53,-3,140,-5,0,1,-12,,-16
  └─ Payables,477,173,-468,-633,-978,-496,-84,-124,-274,5,19,,536
  └─ Working capital changes,159,-353,-83,-864,-1476,-146,57,590,186,149,93,,53
  └─ Direct taxes,-38,-35,-37,-33,-47,-5,-2,11,-5,-4,-6,,-44
Cash from Investing Activity,-283,232,135,550,814,59,74,13,-168,35,-98,,
  └─ Fixed assets purchased,-3,-3,-4,-65,-18,-1,-1,-2,-3,-0,-2,,-10
  └─ Fixed assets sold,0,0,11,1,0,1,5,0,1,19,0,,0
  └─ Capital WIP,0,0,0,0,-1,0,0,0,0,-2,0,,0
  └─ Investments purchased,-374,-96,-246,-131,-312,-168,-6,-55,-168,-98,-300,,-150
  └─ Investments sold,92,312,365,71,533,193,18,5,9,19,278,,63
  └─ Interest received,6,6,4,2,0,0,1,2,6,3,4,,6
  └─ Dividends received,0,0,0,0,0,0,0,4,0,0,0,,1
  └─ Loans to subsidiaries,0,0,0,0,0,-4,-1,0,0,0,0,,0
  └─ Redemp n Canc of Shares,0,0,2,10,97,0,26,0,0,0,0,,0
  └─ Other investing items,-3,13,2,661,514,38,31,59,-13,94,-77,,-8
Cash from Financing Activity,-103,57,-190,189,548,-89,-138,-714,-81,-198,51,,
  └─ Proceeds from borrowings,4,0,0,45,808,0,50,0,65,0,65,,0
  └─ Repayment of borrowings,-62,0,0,0,-195,-40,-144,-682,-135,-192,-11,,0
  └─ Interest paid fin,-30,-47,-77,-45,-59,-46,-43,-32,-10,-6,-4,,-32
  └─ Dividends paid,-12,-22,0,-9,-4,-3,0,0,0,0,0,,-13
  └─ Other financing items,-2,126,-112,198,-1,-1,0,0,0,0,0,,-8
Net Cash Flow,-90,65,-42,-41,90,-93,56,-31,-8,-1,53,,
  └─ Free Cash Flow,293,-227,20,-845,-1291,-63,125,668,239,179,98,,
  └─ CFO/OP,213%,-102%,28%,-726%,-856%,101%,-146%,5865%,-1534%,-4785%,-122%,,
