Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,3,9,16,60,21,54,80,62,74,85
  └─ Profit from operations,6,5,19,59,8,48,88,77,77,89
  └─ Receivables,-1,-2,1,3,-3,-1,-2,-1,2,-1
  └─ Inventory,-0,0,0,-1,2,1,-2,-0,-1,-2
  └─ Payables,0,5,-1,-8,1,1,3,-6,1,5
  └─ Loans Advances,0,0,0,-6,8,0,0,0,-0,0
  └─ Other WC items,-0,0,-3,13,-0,5,-4,-5,-4,-6
  └─ Working capital changes,-1,3,-3,2,8,5,-5,-13,-2,-5
  └─ Direct taxes,-1,1,-1,-1,5,1,-3,-2,-1,1
Cash from Investing Activity,-5,-7,-10,-15,-5,-34,-71,-16,-27,-40
  └─ Fixed assets purchased,-15.06,-15.04,-15.06,-19.13,-3.96,-2.51,-9.99,-28.10,-37.85,-48.67
  └─ Fixed assets sold,5.05,1.18,0.27,0.28,0.55,0.33,0.26,0.23,0.22,0.41
  └─ Investments purchased,-88.45,-112.48,-130.72,-62.61,-19.62,-52.67,-64.06,-40.67,-24.20,-16.50
  └─ Investments sold,89.98,116.16,134.21,73.55,19.67,23.50,2.70,45.26,43.33,25.71
  └─ Interest received,0.23,0.54,1.38,0.72,0.04,0.02,0.35,0.61,0.82,0.94
  └─ Dividends received,4.10,2.08,0.00,0.00,0.00,0.06,0.20,0.18,0.18,0.19
  └─ Invest in subsidiaries,0.00,0.00,0.00,-7.59,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Investment in group cos,0.00,0.00,0.00,0.00,-1.48,-2.32,-0.14,0.00,0.00,0.00
  └─ Other investing items,-0.38,0.21,0.08,0.00,0.00,0.01,0.00,6.82,-9.79,-1.95
Cash from Financing Activity,-0,-0,-0,-54,-11,-26,-5,-42,-49,-49
  └─ Repayment of borrowings,-0,-0,-0,0,0,0,0,0,0,0
  └─ Interest paid fin,-0,-0,0,0,0,0,0,0,0,0
  └─ Dividends paid,0,0,0,0,0,0,0,-12,-5,-5
  └─ Financial liabilities,0,0,0,-54,-11,-26,-40,-43,-47,-51
  └─ Other financing items,0,0,0,0,0,0,35,13,2,6
Net Cash Flow,-1,1,6,-9,6,-5,5,5,-3,-4
  └─ Free Cash Flow,-7,-5,1,41,18,52,71,34,37,37
  └─ CFO/OP,-89%,-711%,132%,107%,-1847%,144%,109%,92%,104%,101%
