Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,128,154,163,106,154,188,199,197
  └─ Profit from operations,175,143,138,150,174,167,165,283
  └─ Receivables,-30,33,-6,-34,11,-42,37,-37
  └─ Inventory,33,47,-30,-58,8,-63,16,-18
  └─ Payables,-23,-49,69,78,-23,105,-17,49
  └─ Other WC items,0,0,0,0,0,0,0,-66
  └─ Working capital changes,-19,30,33,-14,-4,0,37,-73
  └─ Direct taxes,-28,-19,-8,-31,-15,21,-2,-14
Cash from Investing Activity,-195,-144,-50,-76,-65,-140,-265,-132
  └─ Fixed assets purchased,-192,-139,-52,-78,-67,-145,-265,-149
  └─ Fixed assets sold,0,1,1,2,1,1,2,15
  └─ Investments purchased,-4,-7,0,0,0,0,-3,0
  └─ Investments sold,0,0,0,0,1,0,0,0
  └─ Interest received,0,0,1,0,0,3,1,2
  └─ Dividends received,0,0,0,0,0,0,0,0
  └─ Other investing items,0,0,0,0,0,0,0,0
Cash from Financing Activity,66,-10,-113,-29,-87,-51,65,-62
  └─ Proceeds from borrowings,140,131,54,138,48,102,220,82
  └─ Repayment of borrowings,-35,-96,-130,-127,-92,-105,-105,-88
  └─ Interest paid fin,-33,-38,-33,-33,-37,-40,-31,-38
  └─ Dividends paid,-5,-5,-3,-5,-5,-8,-8,-8
  └─ Financial liabilities,0,0,-1,-1,-1,-1,-12,-11
  └─ Other financing items,-1,-1,0,0,0,0,0,0
Net Cash Flow,-1,1,1,1,3,-4,-1,4
  └─ Free Cash Flow,-64,16,112,29,88,44,-63,63
  └─ CFO/OP,89%,123%,126%,91%,98%,100%,122%,74%
