Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,44,52,2,-37,7,-13,-5
  └─ Profit from operations,38.08,23.26,5.82,4.23,-2.45,-14.84,-7.52
  └─ Receivables,-5.34,17.88,10.04,-47.49,42.78,3.98,9.86
  └─ Inventory,25.89,4.37,-0.90,-16.16,-7.81,-7.87,-19.13
  └─ Payables,-6.11,9.10,-4.08,20.21,-13.91,0.86,0.72
  └─ Other WC items,-1.06,2.48,-7.18,2.93,-14.04,4.89,11.02
  └─ Working capital changes,13.39,33.83,-2.12,-40.51,7.02,1.85,2.46
  └─ Direct taxes,-7.63,-5.22,-1.38,-0.29,2.11,0.43,0.00
  └─ Other operating items,0.00,0.00,0.00,0.00,0.00,0.00,-0.14
Cash from Investing Activity,-4,-53,28,-15,1,-2,-5
  └─ Fixed assets purchased,-3.59,-1.43,-12.68,-17.74,-5.75,-8.78,-8.11
  └─ Fixed assets sold,2.04,0.03,0.00,0.61,0.00,0.00,0.06
  └─ Investments purchased,-0.06,-6.00,-12.00,-14.00,0.00,0.00,0.00
  └─ Investments sold,0.00,6.00,12.06,14.20,0.00,0.00,0.00
  └─ Interest received,0.72,1.52,2.57,1.51,1.54,1.17,1.39
  └─ Dividends received,0.26,0.01,0.00,0.00,0.00,0.00,0.00
  └─ Other investing items,-3.07,-53.02,37.64,0.26,5.00,5.54,1.20
Cash from Financing Activity,-20,-10,-5,31,-14,-1,27
  └─ Proceeds from borrowings,20,0,0,42,31,138,288
  └─ Repayment of borrowings,-29,-8,0,-8,-42,-136,-272
  └─ Interest paid fin,-3,-2,-1,-2,-3,-3,-5
  └─ Dividends paid,-7,0,-4,0,0,0,0
  └─ Financial liabilities,-0,-0,-0,-0,-0,-0,-0
  └─ Other financing items,0,0,0,0,0,0,16
Net Cash Flow,20,-11,25,-21,-7,-15,16
  └─ Free Cash Flow,42,50,-10,-54,1,-21,-13
  └─ CFO/OP,160%,402%,52%,-883%,-120%,71%,51%
