Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Dec 2019,Dec 2020
Cash from Operating Activity,-23898,-13278,6805,-32510,-35866,-32712,-43512,-819,-37360,-57723,-39064,5972,,
  └─ Profit from operations,,,10188,8814,8733,10801,13546,16390,14932,15202,18949,20250,8099,9892
  └─ Loans Advances,,,-650,-37475,-41760,-41665,-56522,-9877,-50425,-75017,-59997,-20570,-26665,-36171
  └─ Operating investments,,,0,-686,-1622,-408,711,-2511,790,-344,644,0,-226,642
  └─ Stock on hire,,,0,0,0,0,0,0,0,0,0,7012,0,0
  └─ Other WC items,,,-163,-964,854,320,1437,-1743,17,5708,5573,2895,-9,762
  └─ Working capital changes,,,-814,-39124,-42528,-41752,-54374,-14131,-49617,-69653,-53780,-10663,-26899,-34768
  └─ Direct taxes,,,-2570,-2200,-2071,-1777,-2696,-3101,-2774,-3272,-4233,-3616,-1255,-1869
  └─ Other operating items,,,0,0,0,17,12,23,100,0,0,0,17,12
Cash from Investing Activity,151,-756,-101,46,457,121,861,-287,-943,-1831,-1302,-3308,,
  └─ Fixed assets purchased,,,-203,-75,-91,-100,-74,-48,-18,-34,-83,-70,-65,-70
  └─ Fixed assets sold,,,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Capital WIP,,,0,0,0,0,0,0,0,0,0,-6,0,0
  └─ Investments purchased,,,-436,-2,0,-90,0,0,-343,-913,0,0,-72,0
  └─ Investments sold,,,251,96,24,25,250,431,10,67,352,40,52,208
  └─ Investment income,,,0,0,0,0,0,0,0,0,0,48,62,10
  └─ Interest received,,,242,221,158,231,0,0,0,0,0,0,-12,-18
  └─ Dividends received,,,67,27,20,37,0,0,0,0,0,0,13,6
  └─ Investment in group cos,,,0,0,0,0,0,0,0,0,0,-12,0,-0
  └─ Redemp n Canc of Shares,,,0,0,0,0,0,1,0,0,16,0,0,0
  └─ Acquisition of companies,,,0,0,-0,0,-0,0,-1,-16,0,0,0,0
  └─ Inter corporate deposits,,,0,0,0,0,-3,-77,-138,0,0,0,0,0
  └─ Other investing items,,,-21,-221,345,18,688,-594,-453,-936,-1588,-3307,-23,-528
Cash from Financing Activity,23098,15291,-3947,28244,35543,33926,42113,68,38123,59588,40034,-2375,,
  └─ Proceeds from shares,,,31,0,0,0,0,0,0,0,0,0,0,0
  └─ Proceeds from debentures,,,5872,0,4221,21293,16058,0,14836,27474,30749,10770,0,0
  └─ Redemption of debentures,,,0,0,0,0,-1,-20828,0,0,0,0,0,0
  └─ Proceeds from borrowings,,,0,3015,34363,20522,31154,23367,26452,35152,38497,26294,15945,30564
  └─ Repayment of borrowings,,,0,0,0,-5270,-2925,-60,-44,-180,-23603,-33285,-4666,-2925
  └─ Interest paid fin,,,-16,0,0,0,0,0,0,0,0,0,-0,-0
  └─ Dividends paid,,,-1889,-1972,-2516,-2172,-2172,-2411,-3120,-2857,-5609,-6109,0,-1185
  └─ Financial liabilities,,,0,0,0,-1,-1,-0,-0,-0,0,0,0,-1
  └─ Other financing items,,,-7945,27201,-526,-446,0,0,-1,0,0,-44,10653,997
Net Cash Flow,-649,1257,2757,-4220,134,1336,-538,-1038,-180,34,-333,289,,
  └─ Free Cash Flow,-23943,-13537,6601,-32584,-35957,-32812,-43586,-867,-37377,-57756,-39147,5896,,
  └─ CFO/OP,-111%,-48%,42%,-157%,-143%,-119%,-126%,7%,-92%,-114%,-64%,17%,,
