Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Cash from Operating Activity,,,,,,,173,348,250,230
  └─ Profit from operations,,,,,,,306,359,345,315
  └─ Other WC items,,,,,,,-94,33,3,-57
  └─ Working capital changes,,,,,,,-94,33,3,-57
  └─ Direct taxes,,,,,,,-38,-45,0,0
  └─ Advance tax,,,,,,,0,0,-48,-31
  └─ Other operating items,,,,,,,0,0,-50,2
Cash from Investing Activity,,,,,,,-48,-123,-209,-150
  └─ Fixed assets purchased,,,,,,,-77,-89,-116,-177
  └─ Investments sold,,,,,,,7,0,1,1
  └─ Interest received,,,,,,,28,16,37,19
  └─ Redemp n Canc of Shares,,,,,,,1,2,3,1
  └─ Other investing items,,,,,,,-7,-51,-133,6
Cash from Financing Activity,,,,,,,-62,-110,-104,-79
  └─ Dividends paid,,,,,,,-46,-100,-95,-69
  └─ Financial liabilities,,,,,,,-7,-9,-9,-10
  └─ Other financing items,,,,,,,-10,0,0,0
Net Cash Flow,,,,,,,63,115,-63,1
  └─ Free Cash Flow,,,,,,,96,258,134,52
  └─ CFO/OP,,,,,,,63%,120%,81%,69%
