Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,0,0,-11,-13
  └─ Profit from operations,0.11,1.03,6.23,16.30
  └─ Receivables,0.14,-2.26,-7.88,-27.23
  └─ Inventory,-2.90,0.48,-10.57,-9.49
  └─ Payables,2.79,1.19,1.32,9.71
  └─ Other WC items,0.01,0.00,0.03,-0.04
  └─ Working capital changes,0.05,-0.58,-17.10,-27.04
  └─ Direct taxes,-0.02,-0.01,-0.30,-2.08
Cash from Investing Activity,-0,-0,-0,-6
  └─ Fixed assets purchased,-0.05,-0.03,-0.41,-6.26
  └─ Invest in subsidiaries,0.00,0.00,-0.04,0.00
Cash from Financing Activity,1,-0,12,23
  └─ Proceeds from shares,0.00,0.00,0.00,27.43
  └─ Proceeds from borrowings,0.58,0.00,12.02,6.59
  └─ Repayment of borrowings,0.00,-0.35,0.00,-9.55
  └─ Interest paid fin,0.00,0.00,-0.13,-1.57
Net Cash Flow,1,0,0,4
  └─ Free Cash Flow,0,0,-12,-19
  └─ CFO/OP,155%,44%,-175%,-66%
