Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-48,-13,114,-2,55,27,35,37,-60
  └─ Profit from operations,-4,12,82,54,44,10,-9,-10,-10
  └─ Receivables,2,-9,-28,6,3,6,-5,3,-7
  └─ Inventory,-6,-30,40,-25,8,-0,0,103,-16
  └─ Payables,-16,32,18,-44,2,10,41,-68,-18
  └─ Loans Advances,2,-4,-8,0,0,0,0,0,0
  └─ Other WC items,-24,-11,18,12,-4,-15,6,7,-10
  └─ Working capital changes,-44,-21,40,-52,10,2,42,46,-51
  └─ Direct taxes,0,-3,-7,-4,1,15,2,2,1
Cash from Investing Activity,-189,22,-7,-18,-40,-26,11,-20,-8
  └─ Fixed assets purchased,-7.51,-45.81,-43.34,-22.84,-24.77,-26.15,-35.63,-22.00,-9.10
  └─ Fixed assets sold,0.08,0.65,0.63,0.00,0.76,0.90,3.67,5.66,0.51
  └─ Investments purchased,-157.30,-187.93,-501.86,-172.61,-124.30,-45.31,-342.90,-234.75,-2.80
  └─ Investments sold,159.62,175.67,513.93,181.14,105.07,46.75,385.63,251.95,11.68
  └─ Interest received,5.67,20.21,3.93,1.39,0.09,0.16,0.29,0.21,0.33
  └─ Acquisition of companies,0.00,0.00,-170.68,-1.27,0.00,0.00,0.00,0.00,0.00
  └─ Other investing items,-189.96,59.05,190.46,-4.11,2.99,-1.96,0.20,-21.32,-8.71
Cash from Financing Activity,38,-0,-54,-3,-54,-5,-28,-27,92
  └─ Proceeds from shares,0,0,0,77,0,0,0,0,0
  └─ Proceeds from borrowings,38,0,93,85,127,219,257,276,438
  └─ Repayment of borrowings,0,0,-10,-21,-22,-38,-65,-82,-299
  └─ Interest paid fin,-0,-0,-81,-91,-96,-115,-147,-165,0
  └─ Financial liabilities,0,0,-57,-54,-64,-70,-73,-56,-47
Net Cash Flow,-199,9,53,-24,-40,-4,18,-10,24
  └─ Free Cash Flow,-55,-58,71,-25,31,1,3,21,-69
  └─ CFO/OP,1079%,-107%,212%,23%,219%,271%,-364%,-83%,575%
