Metric,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,601,296,465,508,556,539,1246,470,890,1413,1004,1225
  └─ Profit from operations,666,459,759,782,780,866,1283,1251,1206,1557,1405,1557
  └─ Receivables,-16,2,-39,-107,-6,63,-79,-77,-27,-20,-29,60
  └─ Inventory,33,-95,-220,79,-53,-140,130,-499,-125,29,25,-240
  └─ Payables,59,45,112,39,82,-19,104,142,108,121,-92,128
  └─ Loans Advances,0,-2,2,0,0,0,0,0,0,0,0,0
  └─ Operating Deposits,0,0,-1,0,0,0,0,0,0,0,0,0
  └─ Other WC items,0,13,23,-69,9,-68,41,-60,-33,50,-4,-32
  └─ Working capital changes,77,-37,-124,-58,32,-165,196,-494,-78,180,-99,-83
  └─ Direct taxes,-142,-125,-171,-217,-256,-162,-232,-287,-237,-323,-302,-249
Cash from Investing Activity,-186,-218,-202,-267,-240,-196,-199,-403,-345,-591,-798,-1024
  └─ Fixed assets purchased,-198,-233,-213,-285,-347,-242,-227,-470,-424,-549,-890,-815
  └─ Fixed assets sold,4,1,3,3,21,2,6,4,2,3,3,7
  └─ Investments purchased,0,0,0,0,-1049,-1749,-2069,-2266,-2566,-3724,-4634,-6090
  └─ Investments sold,1,2,2,1,1143,1775,2077,2279,2585,3748,4673,6127
  └─ Interest received,2,3,3,2,5,0,1,1,2,1,2,2
  └─ Dividends received,4,9,3,13,13,17,12,48,52,52,55,58
  └─ Investment in group cos,0,0,0,-2,-25,0,0,0,0,0,0,0
  └─ Other investing items,0,0,0,0,0,-0,1,1,5,-121,-7,-312
Cash from Financing Activity,-260,-234,-210,-284,-316,-156,-506,-310,-327,-382,-440,-496
  └─ Proceeds from borrowings,100,68,51,19,0,238,0,0,0,0,0,0
  └─ Repayment of borrowings,-180,-48,-184,-47,-88,-0,-410,-1,0,0,0,0
  └─ Interest paid fin,-60,-32,-31,-26,-29,-27,-17,-1,-1,-4,-6,-20
  └─ Dividends paid,-120,-222,-46,-229,-199,-352,-64,-292,-305,-356,-406,-445
  └─ Financial liabilities,0,0,0,0,0,-14,-15,-16,-20,-22,-28,-31
Net Cash Flow,155,-155,52,-43,0,188,542,-243,219,441,-234,-295
  └─ Free Cash Flow,407,65,255,226,230,300,1025,4,469,866,116,416
  └─ CFO/OP,112%,91%,83%,92%,103%,84%,115%,61%,94%,112%,91%,95%
