Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,116,144,-81,-81,158,43,191
  └─ Profit from operations,30,20,-196,-6,-41,-117,-51
  └─ Receivables,9,-1,-4,-5,0,-4,3
  └─ Inventory,40,110,241,66,-204,-227,-260
  └─ Payables,6,24,-9,-18,1,37,19
  └─ Other WC items,37,-14,-103,-105,409,373,502
  └─ Working capital changes,92,119,127,-61,206,178,265
  └─ Direct taxes,0,0,-11,-14,-7,-18,-24
  └─ Advance tax,0,5,0,0,0,0,0
  └─ Other operating items,-6,0,0,0,0,0,0
Cash from Investing Activity,17,23,367,75,-39,-68,275
  └─ Fixed assets purchased,-50,-19,0,-7,-41,-37,-31
  └─ Fixed assets sold,0,35,361,75,0,0,0
  └─ Investments purchased,0,-0,0,0,0,0,0
  └─ Investments sold,77,0,0,0,0,0,12
  └─ Interest received,2,3,1,4,2,1,8
  └─ Other investing items,-11,4,5,2,0,-31,286
Cash from Financing Activity,-143,-161,-279,96,-166,14,-436
  └─ Proceeds from debentures,0,0,0,1330,0,0,835
  └─ Redemption of debentures,0,0,0,0,-9,-438,-773
  └─ Proceeds from borrowings,25,8,0,0,16,1000,0
  └─ Repayment of borrowings,0,0,-125,-1123,0,0,-79
  └─ Interest paid fin,-168,-169,-153,-110,-171,-547,-375
  └─ Financial liabilities,-0,-1,-1,-1,-1,-1,0
  └─ Other financing items,0,0,0,0,0,0,-45
Net Cash Flow,-9,6,7,89,-47,-11,29
  └─ Free Cash Flow,66,161,280,-12,117,6,159
  └─ CFO/OP,457%,-63382%,38%,-41%,-752%,-46%,-81%
