Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,46,29,16,26,25,31,60,-33,34,43,42,67
  └─ Profit from operations,38,30,50,36,45,50,100,96,52,88,77,60
  └─ Receivables,-25,23,-20,9,-24,-5,-27,-4,-74,-38,2,-45
  └─ Inventory,8,-14,-2,-10,-2,-15,-12,-50,19,-8,-30,5
  └─ Payables,34,-12,-11,14,-9,3,31,-26,65,15,2,39
  └─ Loans Advances,-18,3,-1,-0,1,2,0,-0,-0,-1,-6,-1
  └─ Other WC items,10,-1,1,-19,18,3,-17,-31,-15,1,11,15
  └─ Working capital changes,9,-2,-33,-8,-16,-12,-24,-111,-6,-31,-22,12
  └─ Direct taxes,-0,-0,-1,-3,-4,-7,-16,-18,-13,-14,-13,-6
  └─ Other operating items,-0,-0,-0,-0,-0,-1,-0,-0,-0,-0,-0,-0
Cash from Investing Activity,-10,-9,-18,-11,-25,-13,-25,-84,-13,-44,-56,-65
  └─ Fixed assets purchased,-11,-11,-16,-12,-31,-14,-17,-43,-61,-57,-59,-66
  └─ Fixed assets sold,0,0,-0,-0,0,-0,0,0,-0,-0,0,0
  └─ Investments purchased,-0,-0,-0,-0,-0,-0,-3,-0,-0,-0,-0,-0
  └─ Investments sold,1,-0,-0,-0,0,-0,-0,2,0,-0,-0,-0
  └─ Interest received,0,0,0,1,0,0,0,1,2,0,0,0
  └─ Other investing items,1,1,-2,-0,6,1,-2,-45,46,13,2,1
Cash from Financing Activity,-37,-19,2,-15,-1,-18,-35,123,-20,1,26,-21
  └─ Proceeds from shares,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126.48,0.00,0.00,1.34,0.00
  └─ Proceeds from borrowings,0.00,0.00,7.19,0.11,0.57,2.84,0.00,10.48,1.57,25.28,48.43,6.65
  └─ Repayment of borrowings,0.00,0.00,-15.79,-4.06,-6.36,-2.37,-8.48,-2.15,-0.89,-1.29,-0.02,-2.63
  └─ Proceeds from deposits,0.00,0.00,21.96,0.00,13.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Interest paid fin,-13.00,-12.54,-13.65,-8.52,-8.78,-9.23,-6.24,-5.19,-6.06,-8.59,-9.41,-10.47
  └─ Dividends paid,0.00,0.00,0.00,0.00,0.00,0.00,-6.49,-6.49,-14.46,-14.46,-14.46,-14.49
  └─ Other financing items,-23.91,-6.80,2.26,-2.55,0.00,-9.30,-13.37,-0.31,0.00,0.05,0.00,0.00
Net Cash Flow,-0,0,-0,-0,-0,0,0,5,2,1,11,-19
  └─ Free Cash Flow,35,18,-0,14,-6,17,43,-76,-27,-13,-17,1
  └─ CFO/OP,147%,95%,47%,94%,63%,82%,93%,-17%,90%,77%,76%,117%
