Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,58,63,36,31,108,112,105,90,140,190,139
  └─ Profit from operations,69,72,74,82,136,119,164,167,175,229,219
  └─ Receivables,-22,-23,-8,-17,-27,-7,-75,-64,-40,-36,-79
  └─ Inventory,0,0,-0,-0,-0,0,-0,0,0,0,0
  └─ Payables,5,8,8,7,18,7,26,22,5,13,5
  └─ Loans Advances,12,12,0,0,0,-1,7,-7,0,0,0
  └─ Other WC items,0,-0,-30,-28,2,11,4,5,26,15,27
  └─ Working capital changes,-5,-3,-30,-38,-7,9,-38,-43,-9,-8,-47
  └─ Interest paid,-2,-2,0,0,0,0,0,0,0,0,0
  └─ Direct taxes,-4,-5,-9,-14,-21,-17,-21,-34,-26,-32,-32
Cash from Investing Activity,-24,-44,14,-54,-116,-33,-140,-260,-152,-152,-56
  └─ Fixed assets purchased,-27,-47,0,-62,-108,-19,-109,-268,-153,-200,-60
  └─ Fixed assets sold,0,0,3,0,1,0,0,0,0,1,0
  └─ Investments purchased,0,0,0,0,0,0,0,0,0,-1,0
  └─ Investments sold,0,0,0,0,0,0,0,0,0,1,0
  └─ Interest received,1,2,11,13,1,2,4,4,2,3,4
  └─ Investment in group cos,0,0,0,0,0,0,0,0,0,-0,0
  └─ Other investing items,2,2,-0,-4,-10,-17,-35,3,-0,44,-0
Cash from Financing Activity,-17,-45,-30,11,14,-4,5,149,35,12,-93
  └─ Proceeds from shares,16,0,0,0,0,85,0,0,1,0,0
  └─ Proceeds from borrowings,17,8,28,59,79,7,86,228,134,181,95
  └─ Repayment of borrowings,-26,-25,-38,-25,-37,-67,-66,-60,-69,-126,-138
  └─ Interest paid fin,-24,-21,-16,-16,-21,-23,-14,-17,-30,-43,-49
  └─ Dividends paid,0,-7,-3,-6,0,0,-0,-2,0,0,0
  └─ Financial liabilities,0,0,-0,-1,-1,-1,-1,-1,-2,-0,-0
  └─ Other financing items,0,0,0,0,-6,-5,-1,0,0,0,0
Net Cash Flow,18,-26,21,-12,6,75,-30,-22,22,49,-9
  └─ Free Cash Flow,32,16,39,-32,1,93,-4,-177,-14,-9,80
  └─ CFO/OP,93%,97%,64%,59%,103%,112%,85%,84%,96%,113%,83%
