Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Dec 2017
Cash from Operating Activity,,28,649,1625,1965,1601,3127,7265,7713,8957,10135,
  └─ Profit from operations,,405,860,1561,1776,2244,3572,5571,7346,9046,10912,405
  └─ Receivables,,-333,-512,90,10,-417,-109,-450,893,-222,-626,-333
  └─ Inventory,,-0,-1692,1556,32,75,12,-27,-252,190,-35,-0
  └─ Payables,,1,90,63,15,-106,-172,316,108,741,1531,1
  └─ Loans Advances,,-0,0,0,0,0,0,0,0,0,0,-0
  └─ Operating Deposits,,0,0,0,0,0,0,0,0,0,0,0
  └─ Other WC items,,-42,1908,-1617,150,-181,-156,1844,-332,-576,-1504,-42
  └─ Working capital changes,,-375,-205,92,207,-629,-425,1683,417,133,-634,-375
  └─ Direct taxes,,-2,-6,-29,-18,-14,-20,11,-50,-222,-143,-2
Cash from Investing Activity,,-1511,-4428,-2666,-3743,-9137,-18730,-3857,-21060,-19828,-26227,
  └─ Fixed assets purchased,,-917,-4428,-2869,-3399,-6143,-14859,-3376,-15773,-24776,-26097,-917
  └─ Fixed assets sold,,0,16,1,3,13,4,38,73,15,105,0
  └─ Investments purchased,,-20,-13,-2,-395,-14,-208,-482,-74,-630,0,-20
  └─ Investments sold,,0,0,14,0,0,0,0,84,0,315,0
  └─ Interest received,,5,17,35,45,288,249,709,807,722,227,5
  └─ Redemp n Canc of Shares,,0,0,0,288,53,0,0,0,0,0,0
  └─ Acquisition of companies,,0,0,0,0,-577,-5621,0,0,0,0,0
  └─ Other investing items,,-580,-20,155,-285,-2757,1705,-746,-6177,4841,-777,-580
Cash from Financing Activity,,1559,3942,1045,2161,7083,15986,-2973,13953,11475,15615,
  └─ Proceeds from shares,,1114,103,0,0,5,0,3898,0,0,0,1114
  └─ Proceeds from debentures,,0,0,0,0,0,0,0,6506,3709,0,0
  └─ Redemption of debentures,,0,0,0,0,0,0,0,-4013,0,0,0
  └─ Proceeds from borrowings,,1686,10039,8245,12295,11410,33148,20837,26838,38606,37391,1686
  └─ Repayment of borrowings,,-871,-5646,-5942,-8897,-2292,-13915,-22304,-12903,-25015,-20093,-871
  └─ Interest paid fin,,0,-404,-1257,-1109,-1589,-3202,-5139,-4601,-4965,-7434,0
  └─ Dividends paid,,0,0,0,0,0,0,0,0,0,-332,0
  └─ Financial liabilities,,0,0,0,-25,-25,-48,-183,-212,-270,-458,0
  └─ Other financing items,,-370,-150,0,-103,-426,3,-82,2338,-590,6541,-370
Net Cash Flow,,76,162,3,383,-453,383,435,606,604,-477,
  └─ Free Cash Flow,,-889,-3763,-1244,-1431,-4529,-11728,3927,-7987,-15804,-15857,
  └─ CFO/OP,,7%,78%,108%,137%,72%,90%,146%,106%,103%,95%,
