Metric,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,104,89,95,107,140,157,89,57,125,162,259,-81
  └─ Profit from operations,137,139,200,220,133,229,124,169,162,177,301,130
  └─ Receivables,9,-15,-6,-10,17,-15,-54,-44,90,-44,-20,-11
  └─ Inventory,-7,-9,-22,-2,5,2,-1,-55,-76,19,-53,-28
  └─ Payables,5,10,6,7,-0,-12,16,18,17,-20,46,-50
  └─ Loans Advances,10,-6,0,0,0,0,0,0,0,0,0,0
  └─ Other WC items,-1,12,-16,-44,30,9,38,5,-12,73,63,-73
  └─ Working capital changes,16,-9,-38,-49,51,-16,-1,-76,18,27,35,-162
  └─ Direct taxes,-49,-41,-68,-65,-44,-57,-34,-36,-54,-43,-78,-49
Cash from Investing Activity,-37,70,-65,-102,-250,78,-53,6,-12,193,-41,190
  └─ Fixed assets purchased,-21,-18,-10,-11,-12,-20,-20,-9,-11,-8,-23,-19
  └─ Fixed assets sold,7,14,3,12,3,3,4,0,0,2,1,4
  └─ Investments purchased,-866,-693,-210,-242,-286,-109,-144,-31,-519,-9,-31,0
  └─ Investments sold,837,773,132,125,219,201,97,37,495,200,4,200
  └─ Interest received,4,13,15,5,9,10,9,10,24,4,3,3
  └─ Dividends received,3,8,5,9,10,9,0,0,0,0,0,0
  └─ Acquisition of companies,0,-2,0,0,-193,-16,0,0,0,0,0,0
  └─ Other investing items,-1,-26,0,0,0,0,0,0,-0,3,6,2
Cash from Financing Activity,-66,-145,-5,-29,118,-241,-21,-34,-124,-367,-224,-94
  └─ Proceeds from borrowings,0,0,0,0,162,0,7,37,0,0,0,16
  └─ Repayment of borrowings,0,0,0,0,0,-15,0,0,-25,-49,-20,0
  └─ Interest paid fin,-1,-0,-0,-2,-7,-11,-11,-9,-10,-10,-10,-16
  └─ Dividends paid,-52,-120,-20,-28,-31,-171,-8,-50,-70,-42,-89,-82
  └─ Financial liabilities,0,0,0,0,0,-9,-10,-13,-14,-16,-16,-12
  └─ Other financing items,-13,-25,15,1,-6,-35,0,0,-4,-248,-89,0
Net Cash Flow,1,13,25,-25,7,-6,14,29,-10,-12,-6,15
  └─ Free Cash Flow,90,84,88,108,131,140,73,48,114,156,237,-96
  └─ CFO/OP,115%,95%,82%,78%,138%,100%,88%,58%,128%,120%,108%,-26%
