Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,0.00,,3.08,-3.45,5.59,2.55,1.06,1.14,-7.22,34.58
  └─ Profit from operations,0.00,,2.31,1.72,2.73,-0.16,1.27,0.24,-0.34,17.55
  └─ Receivables,0.00,,-3.89,-3.58,2.33,3.58,3.42,0.74,2.26,-1.93
  └─ Inventory,0.00,,0.87,-0.56,0.54,1.72,-1.09,1.99,0.62,-0.50
  └─ Payables,0.00,,4.41,-9.74,-5.24,-3.35,1.79,1.07,-2.80,2.68
  └─ Loans Advances,0.00,,0.00,5.79,4.49,-0.42,-1.20,-3.14,-7.30,0.00
  └─ Operating investments,0.00,,0.00,0.00,0.00,-0.20,0.19,0.00,0.00,0.00
  └─ Operating borrowings,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.03
  └─ Other WC items,0.00,,-0.36,3.16,0.93,1.51,-3.34,0.23,0.33,9.89
  └─ Working capital changes,0.00,,1.03,-4.94,3.05,2.85,-0.23,0.90,-6.88,20.18
  └─ Direct taxes,0.00,,-0.27,-0.22,-0.19,-0.15,0.02,0.00,0.00,-3.15
Cash from Investing Activity,0.00,,0.56,0.87,-4.67,-0.41,0.82,1.11,1.19,-69.35
  └─ Fixed assets purchased,0,,-0,-0,-4,-0,-1,-0,-0,-102
  └─ Fixed assets sold,0,,0,0,0,0,2,1,2,0
  └─ Interest received,0,,0,1,0,0,0,0,0,0
  └─ Redemp n Canc of Shares,0,,0,0,0,0,0,0,0,0
  └─ Other investing items,0,,0,0,-1,0,0,0,0,33
Cash from Financing Activity,0.00,,-3.71,2.56,-0.84,-2.08,-1.95,-2.19,6.18,44.83
  └─ Proceeds from shares,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.17
  └─ Proceeds from borrowings,0.00,,0.00,3.85,0.72,0.00,0.00,0.00,6.83,0.00
  └─ Repayment of borrowings,0.00,,-2.21,0.00,0.00,-0.45,-0.60,-0.87,0.00,0.00
  └─ Interest paid fin,0.00,,-1.50,-1.29,-1.56,-1.63,-1.35,-1.31,-0.66,-2.55
  └─ Other financing items,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22
Net Cash Flow,0.00,,-0.07,-0.02,0.07,0.06,-0.06,0.06,0.15,10.06
  └─ Free Cash Flow,0.00,,3.24,-3.51,1.77,2.14,1.83,2.24,-6.03,-67.90
  └─ CFO/OP,0%,,238%,-227%,1752%,-429%,122%,600%,1679%,225%
