Metric,Mar 2021,Mar 2022,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,68,83,103,114,118
  └─ Profit from operations,108,159,113,131,137
  └─ Receivables,-9,-18,-7,-1,-3
  └─ Inventory,2,-36,8,3,-0
  └─ Payables,0,6,-1,-0,2
  └─ Other WC items,-9,6,9,-2,-9
  └─ Working capital changes,-16,-42,9,-1,-10
  └─ Direct taxes,-24,-33,-18,-16,-8
Cash from Investing Activity,-64,-138,-285,-145,-130
  └─ Fixed assets purchased,-62,-132,-184,-152,-126
  └─ Fixed assets sold,0,0,0,1,0
  └─ Interest received,0,1,2,1,2
  └─ Invest in subsidiaries,0,0,-65,0,0
  └─ Other investing items,-2,-7,-38,4,-6
Cash from Financing Activity,-27,130,136,39,9
  └─ Proceeds from shares,0,150,0,0,0
  └─ Proceeds from borrowings,154,279,229,1566,613
  └─ Repayment of borrowings,-155,-291,-83,-1494,-576
  └─ Interest paid fin,-5,-4,-10,-19,-23
  └─ Dividends paid,0,0,0,-11,0
  └─ Financial liabilities,0,0,-1,-3,-4
  └─ Other financing items,-22,-4,0,0,0
Net Cash Flow,-23,75,-47,8,-3
  └─ Free Cash Flow,6,-48,-81,-37,-7
  └─ CFO/OP,89%,77%,121%,117%,107%
