Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,10,35,-3,66,49,70
  └─ Profit from operations,29,47,74,188,198,237
  └─ Receivables,-18,-27,-69,-50,-41,-21
  └─ Inventory,-1,-8,-19,4,-62,-80
  └─ Payables,6,35,29,12,11,-2
  └─ Loans Advances,0,0,0,-0,1,0
  └─ Other WC items,0,-2,-0,-44,-18,-9
  └─ Working capital changes,-13,-1,-59,-78,-109,-112
  └─ Direct taxes,-6,-11,-18,-45,-41,-55
  └─ Other operating items,-0,0,0,0,0,0
Cash from Investing Activity,-22,-40,-38,-49,-79,-331
  └─ Fixed assets purchased,-9,-12,-74,-52,-64,-118
  └─ Fixed assets sold,0,0,0,0,0,0
  └─ Investments purchased,0,0,0,0,0,-88
  └─ Investments sold,0,0,0,3,0,0
  └─ Interest received,0,0,0,0,0,3
  └─ Acquisition of companies,0,0,0,0,0,-129
  └─ Other investing items,-13,-29,35,0,-15,0
Cash from Financing Activity,12,13,51,-13,53,247
  └─ Proceeds from shares,0,0,0,0,0,95
  └─ Proceeds from borrowings,13,14,53,2,68,182
  └─ Repayment of borrowings,0,0,0,-11,-9,-10
  └─ Interest paid fin,-1,-1,-2,-4,-5,-11
  └─ Dividends paid,0,0,0,0,0,-1
  └─ Financial liabilities,0,0,0,-0,-1,0
  └─ Other financing items,0,0,0,0,0,-7
Net Cash Flow,-0,8,10,4,23,-14
  └─ Free Cash Flow,1,24,-77,13,-15,-49
  └─ CFO/OP,62%,104%,22%,61%,47%,56%
