Metric,Mar 2025,Mar 2026
Cash from Operating Activity,-5,5
  └─ Profit from operations,10.68,6.55
  └─ Receivables,-3.55,-8.34
  └─ Inventory,0.00,-8.47
  └─ Payables,-1.05,4.28
  └─ Loans Advances,0.00,-16.63
  └─ Other WC items,-6.45,28.60
  └─ Working capital changes,-11.05,-0.56
  └─ Direct taxes,-4.25,-1.45
Cash from Investing Activity,-22,-23
  └─ Fixed assets purchased,-4.28,-41.66
  └─ Investments purchased,-26.04,-7.21
  └─ Investments sold,9.84,25.12
  └─ Interest received,0.40,0.58
  └─ Dividends received,0.06,0.00
  └─ Invest in subsidiaries,-1.80,0.00
Cash from Financing Activity,14,19
  └─ Proceeds from shares,15.31,0.00
  └─ Proceeds from borrowings,0.00,19.65
  └─ Repayment of borrowings,-0.03,0.00
  └─ Interest paid fin,-0.18,-0.83
  └─ Other financing items,-1.51,0.00
Net Cash Flow,-13,0
  └─ Free Cash Flow,-9,-37
  └─ CFO/OP,-4%,94%
