Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,32,25,15,5,11,45,168
  └─ Profit from operations,22,22,21,29,45,51,152
  └─ Receivables,-3,3,3,-12,-8,-23,-43
  └─ Payables,2,-3,0,8,-16,3,6
  └─ Loans Advances,7,2,0,0,-8,-10,22
  └─ Operating borrowings,0,1,-8,-2,-1,21,6
  └─ Other WC items,6,2,-1,-21,3,13,29
  └─ Working capital changes,13,3,-6,-27,-30,3,20
  └─ Direct taxes,-2,-0,-0,2,-5,-9,-4
Cash from Investing Activity,-25,-19,15,19,-15,-235,-332
  └─ Fixed assets purchased,-28,-13,-7,-8,-13,-114,-355
  └─ Fixed assets sold,0,0,28,0,2,0,0
  └─ Investments purchased,0,-9,-46,-3,-5,-2,-1
  └─ Investments sold,3,0,29,29,0,0,0
  └─ Interest received,1,2,1,0,1,4,2
  └─ Dividends received,0,0,0,0,0,0,0
  └─ Other investing items,0,0,10,0,-0,-122,21
Cash from Financing Activity,-1,-16,-29,-17,-7,193,162
  └─ Proceeds from shares,0,0,0,0,0,86,0
  └─ Proceeds from borrowings,4,0,0,3,0,112,192
  └─ Repayment of borrowings,0,-12,-24,-15,-2,0,0
  └─ Interest paid fin,-5,-4,-4,-5,-5,-6,-31
Net Cash Flow,7,-10,1,7,-11,3,-3
  └─ Free Cash Flow,4,13,36,-3,0,-69,-187
  └─ CFO/OP,217%,117%,77%,10%,34%,108%,115%
