Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,0.95,1.58,3.29,1.19,1.94,3.73,2.97
  └─ Profit from operations,1.65,1.25,4.48,5.41,3.99,5.94,4.99
  └─ Receivables,2.33,1.73,-2.83,-1.94,-2.84,0.25,0.25
  └─ Inventory,-1.33,0.36,-0.39,-0.07,-2.56,1.57,-1.81
  └─ Payables,-0.52,-2.43,2.24,-0.14,3.74,-0.76,0.18
  └─ Loans Advances,0.14,-0.02,0.08,-0.01,-0.04,0.04,-0.06
  └─ Other WC items,-1.04,0.83,0.05,-0.86,1.47,-2.01,0.02
  └─ Working capital changes,-0.42,0.48,-0.84,-3.02,-0.22,-0.91,-1.41
  └─ Direct taxes,-0.29,-0.14,-0.34,-1.20,-1.83,-1.30,-0.60
Cash from Investing Activity,-0.77,-1.42,-1.80,-1.36,-0.77,-2.99,-3.13
  └─ Fixed assets purchased,-1.09,-0.76,-2.00,-1.08,-2.27,-2.81,-3.08
  └─ Fixed assets sold,0.07,0.05,0.07,0.05,2.16,0.02,0.00
  └─ Investments purchased,-0.17,-1.01,-0.11,-1.15,-1.12,-0.59,-1.37
  └─ Investments sold,0.11,0.04,0.06,0.50,0.28,0.00,0.73
  └─ Interest received,0.31,0.26,0.18,0.32,0.18,0.38,0.59
Cash from Financing Activity,-0.27,0.38,-0.45,-0.23,0.37,-0.18,0.01
  └─ Proceeds from borrowings,0.00,0.51,0.00,0.00,0.54,0.06,0.25
  └─ Repayment of borrowings,-0.11,0.00,-0.32,-0.06,0.00,0.00,0.00
  └─ Interest paid fin,-0.02,-0.02,-0.02,-0.02,-0.03,-0.09,-0.05
  └─ Dividends paid,-0.11,-0.11,-0.11,-0.15,-0.15,-0.15,-0.19
  └─ Other financing items,-0.02,0.00,0.00,0.00,0.00,0.00,0.00
Net Cash Flow,-0.10,0.54,1.04,-0.40,1.53,0.55,-0.15
  └─ Free Cash Flow,-0.07,0.87,1.36,0.16,1.83,0.94,-0.11
  └─ CFO/OP,101%,165%,86%,46%,112%,99%,82%
