Metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Cash from Operating Activity,431,555,826,620,1000,1308,1012,1231,1790,2391,3381,3509
  └─ Profit from operations,397,645,820,873,1123,1513,1200,1624,2749,3732,4778,4969
  └─ Receivables,-38,0,7,-34,-13,-32,-76,15,-123,-73,-133,-285
  └─ Inventory,-43,-135,-39,45,-151,-185,-47,-519,-557,-160,-479,15
  └─ Payables,86,149,0,0,0,0,0,0,0,0,0,0
  └─ Loans Advances,39,-56,0,0,0,0,0,0,0,0,0,0
  └─ Other WC items,0,0,95,-207,114,132,12,236,95,-440,-57,-301
  └─ Working capital changes,44,-42,64,-197,-50,-85,-111,-269,-585,-673,-669,-571
  └─ Direct taxes,-11,-48,-58,-57,-73,-120,-78,-124,-373,-668,-728,-888
Cash from Investing Activity,-500,-300,-1048,-746,-937,-2320,-472,-1008,-1769,-3288,-4311,-2725
  └─ Fixed assets purchased,-220,-269,-792,-533,-859,-754,-560,-835,-1801,-3264,-3779,-2739
  └─ Fixed assets sold,0,4,12,17,50,21,24,19,51,70,39,27
  └─ Investments purchased,-302,-550,-35,-35,0,-73,0,0,0,0,0,0
  └─ Investments sold,8,512,35,35,0,73,0,0,0,0,2,81
  └─ Interest received,12,6,8,5,6,5,9,13,23,22,28,46
  └─ Dividends received,2,0,0,0,0,0,0,0,0,0,0,0
  └─ Investment in group cos,0,0,0,0,0,0,0,0,-0,-22,-40,-121
  └─ Acquisition of companies,0,0,-276,-212,0,-8,0,0,0,-10,-200,0
  └─ Other investing items,0,-4,-0,-23,-134,-1583,55,-205,-42,-85,-361,-18
Cash from Financing Activity,58,-236,230,159,-84,1107,-574,-178,-18,985,2954,-1266
  └─ Proceeds from shares,240,0,701,4,1,900,0,0,0,4,7512,9
  └─ Proceeds from debentures,0,320,180,300,0,0,0,0,0,0,0,0
  └─ Redemption of debentures,0,0,-500,0,-300,0,0,0,0,0,0,0
  └─ Proceeds from borrowings,171,332,0,0,1400,1958,1020,855,1478,2783,1957,384
  └─ Repayment of borrowings,-87,-997,71,-57,-644,-1310,-1233,-726,-1138,-1277,-5508,-885
  └─ Interest paid fin,-186,-141,-219,-156,-189,-303,-277,-179,-172,-269,-465,-159
  └─ Dividends paid,0,0,0,-46,-46,-69,-72,-108,-162,-227,-325,-507
  └─ Financial liabilities,0,0,0,0,0,0,-11,-19,-23,-30,-156,-108
  └─ Share application money,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Application money refund,0,0,-21,0,0,0,0,0,0,0,0,0
  └─ Other financing items,-80,250,17,113,-308,-69,0,0,0,0,-61,-0
Net Cash Flow,-11,19,8,32,-22,95,-33,46,4,88,2024,-482
  └─ Free Cash Flow,211,290,45,103,191,575,476,416,40,-803,-359,797
  └─ CFO/OP,114%,94%,109%,81%,104%,98%,90%,80%,76%,82%,85%,87%
