Metric,Mar 2018
  └─ Profit from operations,18.10
  └─ Receivables,6.81
  └─ Inventory,-14.86
  └─ Payables,-1.83
  └─ Loans Advances,-4.56
  └─ Other WC items,29.75
  └─ Working capital changes,15.31
  └─ Direct taxes,-1.58
  └─ Fixed assets purchased,-2.36
  └─ Fixed assets sold,0.01
  └─ Interest received,0.65
  └─ Repayment of borrowings,-10.90
  └─ Interest paid fin,-9.41
  └─ Dividends paid,-0.34
  └─ Other financing items,-0.07
