Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,5,20,-20,47,30,-17
  └─ Profit from operations,10,8,10,19,41,58
  └─ Receivables,-7,-4,-2,-15,-2,-20
  └─ Inventory,-3,-0,-2,0,-4,1
  └─ Payables,2,-1,0,4,-4,7
  └─ Loans Advances,4,-8,-12,21,0,0
  └─ Other WC items,2,29,-9,19,5,-53
  └─ Working capital changes,-2,16,-25,29,-5,-64
  └─ Direct taxes,-3,-4,-5,-2,-6,-10
Cash from Investing Activity,-13,-0,-8,-26,-31,-39
  └─ Fixed assets purchased,-10.15,-3.79,-7.33,-28.63,-23.43,-18.09
  └─ Fixed assets sold,0.00,0.02,0.06,0.02,0.00,0.62
  └─ Investments purchased,-1.62,0.00,-0.03,0.00,0.00,-2.10
  └─ Investments sold,0.00,1.20,0.00,0.20,0.33,0.00
  └─ Interest received,1.41,1.39,1.09,1.86,1.08,2.99
  └─ Other investing items,-3.13,0.81,-1.87,0.40,-9.06,-22.27
Cash from Financing Activity,14,-6,8,7,46,39
  └─ Proceeds from shares,0.00,0.00,1.49,0.43,62.27,12.46
  └─ Proceeds from borrowings,14.64,7.97,7.90,11.87,0.18,11.48
  └─ Repayment of borrowings,0.00,-13.01,0.00,0.00,-14.51,0.00
  └─ Interest paid fin,-0.29,-0.41,-1.33,-2.28,-1.94,-1.96
  └─ Financial liabilities,-0.53,-0.83,-0.84,-2.06,-1.64,-2.71
  └─ Other financing items,0.00,0.28,0.70,-0.58,1.88,19.28
Net Cash Flow,6,14,-20,28,45,-17
  └─ Free Cash Flow,-5,16,-27,18,6,-34
  └─ CFO/OP,84%,329%,-203%,398%,97%,-11%
