Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,1.04,-2.13,1.79,2.33,0.60,9.08,-5.02,3.77,1.08
  └─ Profit from operations,1.46,0.62,1.24,1.61,3.69,4.31,5.24,2.81,4.40
  └─ Receivables,-1.33,-2.80,1.23,0.36,-3.98,-4.19,-10.77,-2.34,-7.77
  └─ Payables,1.78,-0.44,1.36,-0.14,7.54,-0.06,1.43,3.20,3.54
  └─ Other WC items,-0.90,2.60,-0.94,-1.23,-6.87,9.47,-0.10,0.88,1.59
  └─ Working capital changes,-0.46,-0.64,1.64,-1.01,-3.31,5.22,-9.44,1.74,-2.63
  └─ Direct taxes,0.04,-2.11,-1.03,1.73,0.22,-0.45,-0.83,-0.78,-0.69
  └─ Other operating items,0.00,0.00,-0.07,0.00,0.00,0.00,0.00,0.00,0.00
Cash from Investing Activity,-2.86,0.09,-0.52,-1.66,1.65,-9.78,1.19,0.09,0.08
  └─ Fixed assets purchased,-0.05,-0.01,-0.55,-0.22,-0.75,-0.03,-0.21,-0.11,-0.21
  └─ Fixed assets sold,0.00,0.00,0.01,0.00,0.73,0.00,0.00,0.00,0.00
  └─ Investments purchased,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.90,0.00
  └─ Investments sold,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15
  └─ Interest received,0.00,0.02,0.00,0.15,0.08,0.04,0.74,0.84,0.72
  └─ Other investing items,-2.81,0.07,0.02,-1.58,1.59,-9.80,0.65,0.25,-0.58
Cash from Financing Activity,2.72,1.69,-0.67,-0.64,1.42,2.90,0.42,-3.79,-2.18
  └─ Proceeds from shares,0.00,0.00,0.00,0.00,0.00,6.65,0.00,0.00,0.00
  └─ Proceeds from borrowings,3.01,2.43,0.05,1.22,2.83,0.00,1.81,0.00,0.00
  └─ Repayment of borrowings,0.00,0.00,0.00,-0.83,-0.49,-2.92,0.00,-2.49,-0.90
  └─ Interest paid fin,-0.29,-0.74,-0.73,-1.02,-0.93,-0.82,-0.81,-0.72,-0.61
  └─ Dividends paid,0.00,0.00,0.00,0.00,0.00,0.00,-0.59,-0.59,-0.59
  └─ Other financing items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.08
Net Cash Flow,0.89,-0.35,0.60,0.03,3.67,2.20,-3.42,0.06,-1.02
  └─ Free Cash Flow,0.99,-2.14,1.25,2.11,0.58,9.05,-5.23,3.66,0.87
  └─ CFO/OP,68%,-4%,362%,43%,11%,218%,-69%,160%,38%
