Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,96,78,72,56,159
  └─ Profit from operations,50,109,168,162,181
  └─ Receivables,20,-12,-12,-76,-27
  └─ Inventory,1,-7,-48,-12,23
  └─ Payables,13,2,6,-18,4
  └─ Other WC items,10,6,-11,24,3
  └─ Working capital changes,45,-11,-65,-81,3
  └─ Direct taxes,-0,-20,-31,-25,-25
Cash from Investing Activity,-6,-28,-19,-35,-20
  └─ Fixed assets purchased,-5.93,-15.23,-34.45,-35.93,-21.35
  └─ Fixed assets sold,0.03,0.04,0.05,0.51,0.15
  └─ Interest received,0.21,1.00,0.92,0.00,1.71
  └─ Invest in subsidiaries,0.00,-0.01,0.00,0.00,0.00
  └─ Other investing items,-0.22,-13.75,14.40,0.86,-0.22
Cash from Financing Activity,-66,-39,-82,-28,-96
  └─ Proceeds from shares,0,0,0,1,3
  └─ Proceeds from borrowings,1,0,0,31,0
  └─ Repayment of borrowings,-29,-2,-3,-3,-36
  └─ Interest paid fin,-4,-3,-3,-5,-3
  └─ Dividends paid,0,0,-32,0,-3
  └─ Financial liabilities,-34,-34,-43,-51,-56
Net Cash Flow,24,11,-29,-6,44
  └─ Free Cash Flow,90,63,38,21,138
  └─ CFO/OP,193%,102%,63%,50%,102%
