Metric,Sep 2007,Mar 2009
Cash from Operating Activity,52,37
  └─ Profit from operations,45.20,46.22
  └─ Receivables,3.85,-4.28
  └─ Inventory,-0.74,-8.04
  └─ Payables,5.66,8.90
  └─ Working capital changes,8.77,-3.42
  └─ Direct taxes,-2.42,-5.98
Cash from Investing Activity,-28,-2
  └─ Fixed assets purchased,-28.39,-5.45
  └─ Fixed assets sold,0.18,1.09
  └─ Investments purchased,-0.01,0.00
  └─ Interest received,0.56,2.53
  └─ Dividends received,0.02,0.02
Cash from Financing Activity,-23,-36
  └─ Proceeds from borrowings,2.97,13.79
  └─ Repayment of borrowings,-11.31,-34.08
  └─ Interest paid fin,-11.38,-10.69
  └─ Dividends paid,-3.07,-3.18
  └─ Other financing items,0.00,-2.17
Net Cash Flow,1,-1
  └─ Free Cash Flow,23,32
  └─ CFO/OP,143%,116%
