Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-27,11,-36,-23,15
  └─ Profit from operations,-4,15,24,49,99
  └─ Receivables,-12,0,-10,-57,-54
  └─ Inventory,-59,-2,-14,-1,-28
  └─ Payables,8,4,-10,5,-6
  └─ Loans Advances,-12,-2,-17,-19,35
  └─ Operating borrowings,46,-3,-11,0,0
  └─ Other WC items,7,-1,2,0,-13
  └─ Working capital changes,-23,-4,-59,-71,-66
  └─ Direct taxes,-0,0,-0,0,-18
Cash from Investing Activity,-157,-1,-4,-46,-128
  └─ Fixed assets purchased,-157,-0,-2,-7,-157
  └─ Interest received,0,0,0,2,5
  └─ Other investing items,-0,-1,-2,-41,24
Cash from Financing Activity,186,-11,43,189,193
  └─ Proceeds from shares,110,0,46,97,196
  └─ Proceeds from borrowings,81,0,5,103,7
  └─ Repayment of borrowings,0,-5,-2,-6,0
  └─ Interest paid fin,-4,-6,-7,-6,-9
  └─ Dividends paid,0,0,0,0,-1
Net Cash Flow,2,-1,3,121,79
  └─ Free Cash Flow,-184,11,-37,-30,-142
  └─ CFO/OP,606%,73%,-142%,-43%,32%
