Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,4,6,5,4
  └─ Profit from operations,9.76,10.60,14.05,18.93
  └─ Receivables,-3.92,-1.71,-3.55,-11.92
  └─ Inventory,0.93,0.63,0.04,0.82
  └─ Payables,0.05,-0.52,2.67,-1.28
  └─ Loans Advances,-1.08,-2.78,-5.34,-6.84
  └─ Other WC items,1.58,0.51,-0.08,7.71
  └─ Working capital changes,-2.44,-3.87,-6.25,-11.50
  └─ Direct taxes,-1.20,-1.20,-2.87,-3.24
  └─ Exceptional CF items,-1.72,0.00,0.00,0.00
Cash from Investing Activity,-6,-5,-3,0
  └─ Fixed assets purchased,-6.56,-1.98,-2.16,-0.98
  └─ Fixed assets sold,0.00,0.27,0.18,0.11
  └─ Investments purchased,-0.14,-5.66,-0.99,0.00
  └─ Interest received,0.00,0.00,0.00,0.85
  └─ Other investing items,0.69,2.28,0.05,0.36
Cash from Financing Activity,1,2,3,-1
  └─ Proceeds from shares,0.00,0.04,0.05,0.06
  └─ Proceeds from borrowings,1.06,0.29,0.00,0.00
  └─ Repayment of borrowings,0.00,-0.10,-0.77,-0.54
  └─ Interest paid fin,-0.06,-0.06,-0.24,-0.18
  └─ Other financing items,0.32,1.63,4.37,0.00
Net Cash Flow,-0,2,5,4
  └─ Free Cash Flow,-2,4,3,3
  └─ CFO/OP,72%,67%,58%,40%
