Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,6,10,50,3,3,9,22,16,40,30,21
  └─ Profit from operations,10.13,11.44,10.55,6.89,3.74,8.38,-13.12,-6.03,5.55,8.23,13.38
  └─ Receivables,-3.43,2.79,38.70,-1.80,3.03,-8.33,4.71,-2.72,2.31,-13.48,-12.27
  └─ Inventory,-0.64,-2.34,-2.05,-1.21,-0.27,0.70,-1.65,0.01,-0.77,2.77,-9.39
  └─ Payables,7.43,2.60,9.19,2.15,-2.84,13.01,2.96,-3.17,5.67,5.68,1.08
  └─ Other WC items,0.00,0.00,0.00,0.00,0.00,0.00,0.37,1.20,-1.64,1.18,0.17
  └─ Working capital changes,3.36,3.05,45.83,-0.86,-0.09,5.39,6.39,-4.69,5.57,-3.86,-20.41
  └─ Interest paid,0.00,0.00,0.00,0.00,0.00,0.00,35.45,32.25,34.22,35.06,39.53
  └─ Direct taxes,-7.27,-4.83,-5.98,-2.60,-1.09,-4.59,-6.29,-8.16,-7.40,-11.51,-13.27
  └─ Other operating items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.33,2.32,1.94,1.90
Cash from Investing Activity,-4,-8,-52,-2,5,0,-13,-21,-35,-18,-30
  └─ Fixed assets purchased,-12,-12,-7,-12,-7,-4,-7,-7,-36,-21,-22
  └─ Fixed assets sold,0,1,0,0,0,7,0,2,0,15,0
  └─ Investments purchased,-43,-20,-53,-4,-16,-122,-202,-185,-145,-141,-221
  └─ Investments sold,0,0,0,0,0,92,173,156,141,138,205
  └─ Investment income,44,31,33,25,21,30,0,0,0,0,0
  └─ Investment in group cos,0,0,-5,0,0,0,0,0,0,0,0
  └─ Inter corporate deposits,7,-8,-20,-11,6,10,13,13,5,-10,8
  └─ Other investing items,0,0,0,0,0,-13,10,0,0,0,0
Cash from Financing Activity,-1,-1,-1,-3,-1,-9,-3,-2,-4,-3,-4
  └─ Proceeds from borrowings,0.08,0.00,0.96,0.00,3.18,0.00,0.15,0.78,0.00,0.00,0.00
  └─ Repayment of borrowings,-0.62,-0.35,-0.70,-1.40,-0.86,-5.43,-0.19,-0.08,-0.90,-0.09,-0.03
  └─ Interest paid fin,-0.23,-0.20,-0.31,-0.22,-0.22,-0.20,-0.08,-0.13,-0.09,-0.08,-0.28
  └─ Dividends paid,-0.59,-0.59,-0.89,-0.89,-3.56,-2.95,-2.95,-2.95,-2.95,-2.95,-2.95
  └─ Financial liabilities,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.84
Net Cash Flow,1,1,-2,-1,6,1,7,-8,1,9,-12
  └─ Free Cash Flow,-5,-2,43,-8,-4,13,16,10,4,24,-1
  └─ CFO/OP,44%,39%,164%,26%,20%,52%,86%,58%,92%,70%,62%
