Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,19,31,42,59,67,146,64,117
  └─ Profit from operations,41,52,56,101,118,167,198,246
  └─ Receivables,-25,4,-7,-18,-52,4,-48,-104
  └─ Inventory,-3,-27,-4,-11,11,2,-64,-77
  └─ Payables,7,10,10,13,14,6,24,118
  └─ Loans Advances,-0,0,-0,-0,-1,0,-0,1
  └─ Other WC items,8,1,1,-4,-2,-5,-23,-40
  └─ Working capital changes,-13,-12,-1,-21,-31,7,-111,-103
  └─ Direct taxes,-9,-9,-13,-21,-20,-28,-24,-26
Cash from Investing Activity,-9,-6,-20,-188,-91,-499,-152,-107
  └─ Fixed assets purchased,-8,-4,-19,-80,-79,-287,-172,-68
  └─ Fixed assets sold,0,0,0,0,1,0,0,7
  └─ Investments purchased,0,0,0,0,0,0,0,-41
  └─ Interest received,0,0,0,1,0,3,4,3
  └─ Acquisition of companies,0,0,0,-60,0,-165,0,0
  └─ Other investing items,-1,-2,-1,-49,-13,-49,17,-7
Cash from Financing Activity,-9,-23,-19,125,27,361,92,-22
  └─ Proceeds from shares,0.00,0.00,0.00,0.00,0.00,323.11,0.00,0.00
  └─ Proceeds from borrowings,1.66,0.00,0.00,169.95,49.51,168.83,105.51,33.61
  └─ Repayment of borrowings,-5.60,-18.54,-15.71,-39.06,-59.35,-115.22,-11.40,-27.22
  └─ Interest paid fin,-5.26,-4.62,-3.48,-6.00,-12.36,-14.94,-1.77,-16.58
  └─ Dividends paid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-11.44
  └─ Financial liabilities,0.00,-0.12,-0.15,-0.31,-0.72,-0.94,-0.80,-0.08
  └─ Other financing items,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00
Net Cash Flow,1,1,3,-5,3,8,4,-12
  └─ Free Cash Flow,11,27,23,-21,-11,-141,-108,55
  └─ CFO/OP,68%,79%,101%,83%,76%,113%,47%,59%
