Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,-2,-1,2,-9
  └─ Profit from operations,6.10,10.05,11.97,11.09
  └─ Receivables,2.88,-24.39,-15.23,32.91
  └─ Inventory,-2.71,-5.70,-4.67,-32.56
  └─ Payables,-4.50,17.54,12.26,-11.29
  └─ Loans Advances,-0.06,-0.15,0.17,-1.68
  └─ Other WC items,-2.28,3.24,0.15,-4.69
  └─ Working capital changes,-6.67,-9.46,-7.33,-17.31
  └─ Direct taxes,-1.29,-1.94,-2.61,-2.61
Cash from Investing Activity,-0,-1,-3,-16
  └─ Fixed assets purchased,-1.04,-2.12,-3.66,-16.48
  └─ Fixed assets sold,0.73,0.70,0.00,0.65
  └─ Interest received,0.08,0.12,1.08,1.06
  └─ Other investing items,0.00,0.00,0.00,-0.90
Cash from Financing Activity,2,18,20,16
  └─ Proceeds from shares,0.00,25.59,25.20,4.20
  └─ Proceeds from borrowings,4.07,0.00,0.00,12.71
  └─ Repayment of borrowings,-0.78,-5.80,-4.71,0.00
  └─ Interest paid fin,-1.15,-1.78,-0.82,-1.18
  └─ Other financing items,0.01,0.03,0.02,0.26
Net Cash Flow,0,15,19,-9
  └─ Free Cash Flow,-2,-3,-2,-25
  └─ CFO/OP,-9%,6%,46%,-71%
