Metric,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,25,20,17
  └─ Profit from operations,3.05,19.09,28.34
  └─ Receivables,-0.12,0.15,-11.51
  └─ Payables,11.76,-8.86,-2.17
  └─ Operating borrowings,4.08,-3.30,0.38
  └─ Other WC items,7.85,18.15,3.47
  └─ Working capital changes,23.56,6.12,-9.83
  └─ Direct taxes,-1.59,-5.01,-1.34
Cash from Investing Activity,-23,-44,-38
  └─ Fixed assets purchased,-22.72,-44.54,-18.00
  └─ Capital WIP,0.00,0.00,-22.13
  └─ Interest received,0.02,0.85,0.65
  └─ Other investing items,0.00,-0.74,1.23
Cash from Financing Activity,-0,53,0
  └─ Proceeds from shares,0.00,64.00,7.00
  └─ Proceeds from borrowings,1.12,0.00,0.00
  └─ Repayment of borrowings,0.00,-1.44,-1.86
  └─ Interest paid fin,-1.19,-1.60,-1.50
  └─ Dividends paid,0.00,0.00,-1.04
  └─ Financial liabilities,-0.18,-0.75,-2.36
  └─ Other financing items,0.00,-7.51,0.00
Net Cash Flow,2,28,-21
  └─ Free Cash Flow,2,-24,-23
  └─ CFO/OP,856%,155%,71%
